Toll10b_R1_CBP	Toll9_R1_CBP	Gd7_R2_CBP	Gd7_R1_CBP	Toll9_R2_CBP	Toll10b_R2_CBP
Region1042	7.04008339877968	7.14069816693601	7.5726403467196	7.61806974765806	7.09264496528413	7.21066232834111
Region1043	6.7536913827695	6.07464874677232	6.0567741786531	5.94751580431609	6.36491034468752	6.64274693403417
Region1044	8.43525139966333	8.71408316424658	8.87685148542944	8.79105954438035	8.5958384236655	8.39560723614569
Region1045	8.02366851592135	8.15450468699941	8.50617423200694	8.4331835702562	8.13037148056783	8.17316943760969
Region1046	7.32689437879357	6.29778425136918	5.55867990332512	5.93152341057141	6.29148153217713	6.61007285345639
Region1047	9.06808105005486	9.20108510382062	9.11828025632328	9.21196982559681	9.17368599935548	8.98277814718319
Region1048	6.13178549087844	6.35280017780218	7.13667757822213	7.16437340611684	6.36274553241473	6.13349725156676
Region1049	6.398425922629	6.08724335250042	6.62471468579759	6.59346253473261	6.19677556898882	6.28836161347508
Region105	9.57804694596752	9.46811322181898	9.5718981020066	9.50388818775363	9.49856662284935	9.53992580878086
Region1050	6.83855797549465	6.37679295702538	6.31463563369696	6.28023803672102	6.1331592659624	6.77353013934389
Region1051	9.31819925500462	9.02404598207389	8.8670478630342	8.90097678558126	9.02577268899051	9.34368626319483
Region1052	10.0941570956265	10.0929101380768	10.0744736333791	10.0018529916547	10.1068011841687	10.1851322877971
Region1053	8.12512976521863	7.79586392733667	8.32032618414919	8.23942579829735	7.77431235517316	8.12520833711355
Region1054	8.34285544498201	7.48662966349053	6.99228464283562	6.94450032528957	7.33857525939491	8.37139241365438
Region1055	7.51472410320831	7.90430128123869	6.34969836214222	6.24868841418842	7.89772619229124	7.75183967922467
Region1056	8.59242707249967	8.65706355131971	7.79562044824076	7.69317813141494	8.69550088289754	8.49529712233442
Region1057	6.32994224303008	6.61094538459798	6.6647939215019	6.68600086185066	6.89392475763813	6.70089523982465
Region1058	6.18103946137378	6.67488283269573	5.58914006487828	5.30963729233982	6.77478428745947	6.31423521673263
Region1059	7.09176957967938	7.14912677197436	7.15173266531526	7.14069269963568	7.10627577038079	7.03394459023858
Region106	6.13508497044139	6.30601528370822	6.423790525117	6.28951941567727	6.05082896669877	6.23145299649859
Region1060	7.71047209175065	6.97291463235643	7.09895957314101	7.17688319716279	6.94578042642711	7.67066660717046
Region1061	9.31124930638598	9.37382783494354	9.3266201378593	9.26724298191379	9.36882664661976	9.39001330117348
Region1062	7.67577337141823	7.59687440492756	7.83857945795546	8.06294849322835	7.61604242268104	7.39444981055543
Region1063	10.3496122744736	10.290225706148	10.2727522849296	10.2555866542845	10.3382731890838	10.4072564519797
Region1064	8.05849997308621	8.20486151290453	7.66132108521801	7.71702065020381	8.0848554519316	8.22311567632363
Region1065	8.32242467320654	8.22069144268055	7.30840461223862	7.21283441575458	8.40629587810637	8.37820288691437
Region1066	7.60572581182169	7.64473420356945	7.83098148632446	7.60741118261704	7.78947912322405	7.6351923136975
Region1067	7.2622408861508	7.25127873903045	8.03946713041447	8.06731922617096	7.07438797098036	7.06146792819596
Region1068	6.8460224141415	6.42436501601381	5.92563618266123	5.94836550091716	6.39272558882712	6.7964572720303
Region1069	7.34158180489528	7.68041000882444	8.13781054729735	8.03744800583585	7.58918833335898	7.452942275592
Region107	6.34497640436475	6.52431478685095	7.2056360073245	7.09020725735718	6.97759845631782	6.55426398045225
Region1070	6.58221853374031	6.46892045962403	6.25572189578849	6.28184611365071	6.29925861231509	6.34318942502027
Region1071	6.12587158020143	5.98255021582429	6.24794877391236	6.08252536956215	5.87650024590011	6.07420446152949
Region1072	6.99443951129851	6.18873692998864	6.17453828905492	5.95501415071176	6.31156357215189	7.12182883644346
Region1073	7.39891378009786	7.76364473537984	8.32524149012573	8.26208755697023	7.88752935998778	7.46319950503637
Region1074	7.74553796116269	7.63634802824535	8.27745274462136	8.32907892325055	7.59627609354999	7.90439760857052
Region1075	6.36927625176441	6.60298658611218	6.55374869240504	6.54836551942259	6.70386305134767	6.6213008613618
Region1076	7.48835939346629	6.58588176493324	6.47139937527246	6.39865122459265	6.74749354832506	7.75446210770213
Region1077	6.98377988246541	6.86522926245182	7.39179423756657	7.43148594592689	6.73394898742025	7.00978199006935
Region1078	7.16628314040524	7.46838186684793	6.28904832604621	6.18145297805034	7.42636771945567	7.51050129546936
Region1079	7.36532591406535	7.76216829856832	6.86189673249082	6.85218169653785	7.63211560661753	7.16725322448792
Region108	8.04055092728886	7.77657770083132	7.73617106355514	7.76169833443101	7.85929063502466	7.92144505908157
Region1080	7.02863197290797	6.96298161330383	6.74251661221248	6.63711222609922	6.96892322795117	6.97753176694652
Region1081	7.4622246143793	7.49546803446087	7.32598706007804	7.39226408021624	7.62795460413114	7.31527485072318
Region1082	5.63605691367768	5.69013213073795	7.28409921331726	7.14543703898318	5.52890862595752	5.86279136623586
Region1083	5.08614708870553	5.97659125389541	4.82625279991577	4.92599729680929	5.77677850463329	5.13132339058822
Region1084	7.00883219280378	7.00413097239727	6.09664986784159	6.97405360575008	6.735728119058	6.15874578031012
Region1085	6.60837467033118	6.82364729492479	6.859663964393	6.74170457578747	6.75336573729582	6.7763394330244
Region1086	6.29067869873941	6.67064042667654	6.61008299913552	6.69552277003624	6.70590084965696	6.53916023708785
Region1087	7.0733026551294	7.21822970874269	6.96150631736951	6.98743835014493	7.12778559799799	7.05406411917301
Region1088	5.45764557211771	6.23165760054266	5.83569092410268	5.84164252592508	6.16706143923434	5.51389860478066
Region1089	6.91155015013157	7.98281052829225	7.2240870470824	7.07341350473109	8.0465348602146	7.06878635376346
Region109	6.48460727863479	6.45554279697092	7.25644607587464	7.15110243038325	6.6037004297585	6.37430456603767
Region1090	5.87670507185795	6.28481971978654	6.62422111374274	6.67538795664929	6.26635553478468	5.89384002798409
Region1091	8.85162660177212	8.78699042863583	8.72967677808101	8.69837285437507	8.85055858656542	8.8723061555512
Region1092	6.84239219287496	7.26307553595509	7.6294465935154	7.4536760393938	7.27169429253573	6.90204511643857
Region1093	9.44016864432914	9.55859053448848	9.58165460640471	9.55282494088016	9.55519788546561	9.44664119463967
Region1094	9.07297011945294	8.88929940178388	8.70811811315387	8.7605399238245	8.79628767809736	8.81298492755211
Region1095	8.20075129792302	8.18012520277846	8.0424701929701	8.0121602885378	8.21713153783073	8.47185674151489
Region1096	5.56536760640047	6.29541986095293	5.10321562136003	5.33096087342779	6.43705837421707	5.58573894713175
Region1097	6.40330559783476	6.61492716992818	6.50799992082474	6.49757644162521	6.86051576718514	6.37931470550342
Region1098	6.76083057049458	6.8814236804399	7.22364231875726	7.03467932714212	6.94234166120227	6.90828214212713
Region1099	7.84633960291436	7.67398926725262	7.45533329640414	7.6467730308174	7.76599852141602	7.36494543554882
Region110	5.47292458402019	5.38773008265472	6.17274904337081	6.03562350499628	5.48269228800815	5.89498293859273
Region1100	5.51865794653367	5.28995092414787	6.59473092296798	6.48127404894021	5.44202029117995	5.60037008895848
Region1101	6.19852888404167	6.17385073419225	6.24768194748365	6.17857290966766	6.14921848789169	6.04013209625086
Region1102	6.26049934267569	6.31168541115693	6.20904772848771	6.23916991969477	6.37750045673535	6.15109266526209
Region1103	7.3199390815535	6.7854890715415	6.99000110492909	6.93634800140747	6.88019352007122	7.49438245084372
Region1104	7.19078141664302	8.46242508768031	6.83768883669152	6.95270437083786	8.42667961396756	7.09789986680483
Region1105	7.25295092648296	7.78740564765871	7.61345531676458	7.59022784482656	7.9230701984166	7.09959839942445
Region1106	7.23783430067601	7.6663845366452	9.44513274595874	9.41084825710921	7.62942335600301	7.12823130934779
Region1107	7.87424452620297	8.43380474033858	7.70718015386888	7.64291537036399	8.37065081257782	7.83710434995244
Region1108	9.31590369183318	9.62718632746452	9.52187511385649	9.57959100479231	9.62295043855899	9.42878117292487
Region1109	7.00334843444787	7.77574506773924	7.8163244543272	7.77395796847187	7.82344104627252	7.01367452234027
Region111	7.66180329459075	7.37537961972838	7.88077536347159	7.76806128789698	7.47670619767094	7.78683609705322
Region1110	8.30187869903082	8.4808020203219	9.16327574621741	9.06754121339663	8.39242117075989	8.42497104683983
Region1111	9.48367779515662	9.57120122437735	9.62242556795119	9.597629112666	9.62706254698208	9.48697485959408
Region1112	6.91613289440874	6.85448211941477	6.81637006562374	6.8072943060317	6.88885592137321	6.97105678583579
Region1113	6.51244512377479	6.56884880442624	6.2746378804173	6.34522298057874	6.48556755672748	6.61126175410715
Region1114	6.20361206179139	5.86862170408954	6.61823344193971	6.54516662900108	6.18892921727925	6.26613941536595
Region1115	6.4790388299949	6.74114524970573	7.54278938407711	7.48001238781477	6.76518395441432	6.53168398394223
Region1116	6.08465932835389	5.83841635263964	6.18418774207142	6.13441796684905	5.67508508924019	5.95936992117611
Region1117	6.97320718941535	7.1552855439395	6.10314554460351	6.21214928988689	7.09496174456342	6.9406536675915
Region1118	6.9065598929515	7.2660375813295	6.05652130009233	6.0952345212994	7.39285898807295	7.07885468901313
Region1119	6.5891541508458	6.55895101608279	6.8903236210849	6.99197836777534	6.82296704780876	6.94992213434431
Region112	10.0683014435705	10.0936060113399	11.5914249687613	11.51670030237	10.0964708156881	10.091526729642
Region1120	6.21148699313653	6.51162766547578	7.26191857157756	7.12563945894256	6.54776990994176	6.41657805992725
Region1121	7.4371081547874	7.97959224070814	6.73835716750417	6.74752047632613	7.94106162882818	7.45969506652726
Region1122	9.82165486400634	9.64651138709914	9.48659238723522	9.37217348185782	9.70041319715715	9.89614002773561
Region1123	8.33522066310344	7.90908935953386	7.12232944102437	7.10234024744578	7.67306362891217	8.34306640019492
Region1124	7.65511190575163	7.82770241096117	6.38313886334282	6.18384950978524	7.67961918361772	7.73576987897454
Region1125	7.78161443494388	7.80284040849411	6.26817477377742	6.3847973027723	7.80565633823374	7.92465155295534
Region1126	6.44884645523648	6.52903335618553	5.40328398861219	5.58947176349687	6.40260898650577	6.19083386296405
Region1127	9.69979326402263	8.31374344364407	8.19582486533385	8.16421229136816	8.34368249644164	9.75994320381992
Region1128	10.2556534198883	10.379883006484	10.3654303360106	10.3405973236101	10.4090254228832	10.2950212769501
Region1129	9.74661300184014	9.67021797371463	9.49366624476517	9.55217043908635	9.66604227520139	9.69711301117519
Region113	9.94030498642964	9.95912659964666	10.3807935761693	10.3346699678954	9.93703961076384	9.91938319417561
Region1130	6.07527511602224	6.18833233461294	7.19723912336444	7.13751864099616	6.11078708026329	5.70270599693138
Region1131	9.49199880610434	9.0539122321228	8.31518712132396	8.24442536814432	9.02444491551842	9.58068248407342
Region1132	10.506077605593	10.0731229452407	9.86800249165008	9.86657193597113	10.0414296156433	10.5262536002589
Region1133	5.41564846531807	5.32687109529931	5.37229118703983	5.37732769762633	5.38222886731501	5.38587156620833
Region1134	11.228645189729	10.8135192080255	10.5773023005253	10.5589284162001	10.8049458812839	11.1755272489373
Region1135	5.64737152564146	5.57880302518537	5.52124606291599	5.70822685208433	5.42465714046112	5.68872566686525
Region1136	11.2388425421197	10.7986177554822	10.5635603839668	10.571703887941	10.8142775875269	11.195448610176
Region1137	7.32182096601015	7.22300522622307	7.04880997318971	6.94046510327974	7.33118208476424	7.49861842256677
Region1138	8.85509955441786	9.09799205284904	9.28758545961469	9.30545693062203	9.06016240497095	8.92722377338104
Region1139	8.57864316700051	8.43392014819566	8.04181787144481	8.00760751034018	8.42592403738367	8.72965817420028
Region114	6.46015206825116	6.31260096422251	7.26010332511988	7.29535357147387	6.41461669867404	6.65996099916837
Region1140	7.37542196239246	6.51437078329463	6.1562777145701	6.21259527696075	6.79057266673386	7.48889253789711
Region1141	7.48822970086517	6.76712730025651	6.65202980657516	6.48936594894826	6.92175984366306	7.34536526540159
Region1142	9.2255293277664	9.36832254025375	9.49842830322097	9.46482395145233	9.40941370985679	9.23997036916222
Region1143	8.9053628122127	8.8730813345559	8.82613303649982	9.01882741733093	8.78772957064305	8.80203798306439
Region1144	9.34878542061329	9.42846352773457	9.25372236113584	9.22339689753695	9.47431801788766	9.49378095912334
Region1145	7.58945159689744	7.31239167719739	7.35827729359581	7.42404615449969	7.37064925978449	7.32565385538455
Region1146	6.50410396586821	6.57784850244208	6.58949877999731	6.42569756247409	6.66064513704462	6.73523705845939
Region1147	6.81359308475283	7.07757289659287	7.31982520482253	7.32193540999576	7.3256987061088	6.92408300821638
Region1148	8.2541826528608	8.49145155642696	8.44936338269581	8.45686845755006	8.51356613620781	8.59652817418777
Region1149	6.81646224162093	6.84253919794566	6.81556139794472	6.90642914094521	6.92861128953679	6.80986068233998
Region115	6.09027005041634	6.02037658271238	6.67317300341603	6.65113994895957	5.95675809431374	5.79614063547264
Region1150	6.66231344607149	6.64098185518561	6.73163642343156	6.80448880474083	6.51104153558862	6.50796147875277
Region1151	9.58215061084329	9.11879836613797	8.34932076472439	8.29587367060815	9.06755105009435	9.54843906048604
Region1152	10.5098605427298	10.073276833018	9.85311939207102	9.84206252465711	10.0260630078218	10.5191870245925
Region1153	7.4993498385084	7.30181631100531	7.30239753711571	7.18849220093602	7.15951467849786	7.45122927608814
Region1154	10.5839901587919	10.1794020598449	9.91425717084265	9.92306216121776	10.1526316084024	10.5941384966629
Region1155	9.667096368842	9.15666720499781	8.48156411685164	8.4087648617434	9.1766284433474	9.63059641396976
Region1156	8.44413442910493	8.53879430728053	8.71822047421012	8.57120287864886	8.38148847666328	8.60616485687838
Region1157	6.2033477583301	6.64916096386407	7.50686222105008	7.49675145295063	6.68206326120183	6.44550173144772
Region1158	5.49015095351899	5.36121438341235	6.1977785266789	6.29220618234245	5.23373157464284	5.31350873232978
Region1159	5.63038137389366	5.33586054342504	7.34353812838861	7.24861221522949	5.47699471102258	5.8046142140445
Region116	8.51959782850565	8.47163091080774	8.11553422988391	8.22237698558444	8.46156770496051	8.47127142117617
Region1160	6.84183429962438	6.59235353002329	6.4980585148356	6.24605468820614	6.72160827652245	6.78954039446459
Region1161	8.20162427075916	8.02975044918088	7.90498800753237	8.19631719207575	8.05441281992599	8.08211438247252
Region1162	7.36816302034688	7.57151623373223	7.43944057516796	7.40831403406945	7.40944817837674	7.56671563095515
Region1163	7.58586600477553	7.38037370634979	7.43273427880226	7.27772405155044	7.41531503303069	7.66634365572165
Region1164	7.82546213032466	7.71961379831097	7.53068211454938	7.79830065941779	7.6226099936067	7.56600263781818
Region1165	6.3101348207016	6.72570957825224	6.47574999209164	6.36072766309804	6.72521427708428	6.47673871509545
Region1166	7.6556181654194	7.39191639788052	6.86960743227023	6.79751025547059	7.3557764883702	7.81682714500178
Region1167	9.19238028301649	9.30200225007268	9.1830356032136	9.14604164156018	9.24470990581299	9.22539739464811
Region1168	5.89897240654313	6.12066213937609	7.47165952591947	7.46847044889465	6.05119103626075	6.16756871233879
Region1169	5.71380378356487	5.96630292245904	5.93781940107362	5.76747662972706	6.19408261806461	5.90765625932836
Region117	7.28395167485009	7.34292757647143	7.14253938189498	7.08020502168501	6.8465365430917	7.13754799932662
Region1170	6.68879322902067	6.67901806950281	6.77181419170686	6.87521648553367	6.48851801828699	6.41802002322799
Region1171	8.35898602508791	8.644113396934	8.3488940267978	8.28968283818207	8.76747978056997	8.52610602633378
Region1172	7.84845382676296	8.03158524137166	7.58754792770878	7.47942855040997	7.86690317817065	7.70354942397893
Region1173	7.09737297145587	7.08765830722419	6.5074191311205	6.46252789212529	7.02257320033454	7.16938937173093
Region1174	8.39847594132702	8.31428066568104	8.25673722024486	8.28698625709444	8.25019641506711	8.37439271529048
Region1175	10.5873043654253	10.6145941332142	10.5788062717544	10.5684498147164	10.589190106562	10.5504917430319
Region1176	8.34306745408697	8.27967287673384	8.6373077115039	8.55143153932593	8.32739925721874	8.33566499914565
Region1177	8.2262904717788	8.19911874310333	8.20012499239319	8.10708412157864	8.3297522542189	8.21918663608501
Region1178	7.25790467615682	6.13092196712746	5.95784589452445	6.18441896088517	6.22575505989745	7.02309995962509
Region1179	7.97300644156067	8.07852011533991	7.62594345971479	7.64702979308333	8.09599807308186	7.93057167734892
Region118	7.31515838001524	7.21279902941071	7.38536049332484	7.28779220963939	7.25204499625481	7.10870157684456
Region1180	7.3752125878249	7.46380203580713	7.3787105542911	7.1380014681371	7.48334276175705	7.67438585347169
Region1181	8.67023844619066	8.76380752127593	8.62577579954111	8.73398709664825	8.63875394506077	8.49766946225388
Region1182	8.348858373582	8.45054598522711	8.34357535272072	8.26799694980766	8.38323261319433	8.4321738434355
Region1183	7.44666186610521	7.80551458042411	7.72961079184299	7.88454742182629	7.84160703063666	7.52938595912408
Region1184	6.62709415170224	6.96755391015183	6.63619910199375	6.9475656582079	6.91011226249319	6.23819199626423
Region1185	7.8938545283244	7.9937328447347	7.77455922064095	7.77801686011254	7.9740751052402	7.8435011134316
Region1186	7.65462916244228	7.58530510763405	7.30491791168113	7.45608391160291	7.49159804812315	7.34790525319334
Region1187	9.39484352933037	9.50341884163753	9.48128665625228	9.48237702098706	9.55149820264843	9.39916984857997
Region1188	6.72106311990572	7.12003407768163	7.01083683322074	7.31354453904287	6.97247300571967	6.36862141905141
Region1189	7.82206819085543	7.80572821252974	7.66774310581842	7.72030033969621	7.59390180044029	7.79259653642091
Region119	6.55752544379805	6.71267869068785	6.79808162496411	6.78958331456203	6.82771061226495	6.57016035098015
Region1190	7.58759947960758	7.75349990845683	8.43572160437838	8.48632676491842	7.59978212161063	7.96599442534858
Region1191	9.24320798287338	9.35456424824847	9.34299352719578	9.22792776359191	9.3107442924742	9.22978542261537
Region1192	5.93232936105141	6.21180044754023	5.62986857462937	5.57127072172052	6.30311491188422	5.79464939654487
Region1193	9.41524752084105	9.56693412453679	9.56795772663121	9.53874188108049	9.56018170403721	9.53991528115434
Region1194	8.70202842889249	8.74740748969133	8.6037066951058	8.64054010939408	8.84594750027718	8.73419498784255
Region1195	6.80971940711301	6.70797048383375	7.02497850802603	6.78685316856308	6.64408321384911	6.76221451868491
Region1196	6.66767335968236	6.56068131298403	6.72096827891826	6.53577143172726	6.66072737674495	6.9638983700187
Region1197	8.15351657080272	7.97346010049838	7.70566886892627	7.67010609142953	7.90321356005423	8.36126874988036
Region1198	9.04681091382752	9.04350586304956	8.97805758778459	8.93419471924206	9.09009269925226	9.17531542362332
Region1199	7.01165487185393	6.84386805542245	6.58116981784183	6.5804071271275	6.73585623138306	6.85314654392093
Region120	7.2905277364494	7.25936179555324	7.22974384087751	7.27901473038971	7.05699331622946	7.04462956599846
Region1200	7.54892095421591	7.73219133548076	7.5616939858103	7.68244433511101	7.74202571026066	7.76995986415253
Region1201	7.18711128396	6.77679822203603	6.84942334800066	6.86799031165399	6.56231107163493	7.17939436408307
Region1202	7.77062386661058	7.25628467020145	7.33047618277431	7.30911396330684	7.16799935283572	7.98031716218708
Region1203	9.17722759841647	9.10204881978682	9.15138777026043	9.16693623594912	9.18816635775016	9.13038879877542
Region1204	8.76837679116595	8.63534359405927	8.73078391722716	8.70880136519972	8.81782804377031	8.78384547523782
Region1205	6.24896052162132	5.92673989700696	5.62251387376603	5.5712592772084	6.0874051775028	6.49255271373887
Region1206	8.40072336630714	8.4292648949105	8.21216857759636	8.28611693392392	8.27652225596324	8.27855515984439
Region1207	7.24764981241535	7.02399400855253	6.963029095188	7.01318687012407	6.89156577144769	7.2848025435094
Region1208	6.73639156125416	6.28682372465124	6.17600024171904	6.06428151446367	6.46761739733613	6.73267435419362
Region1209	7.50981280340561	7.14787100274816	7.18560991612789	7.28571989120064	7.20754924181326	7.18576496968752
Region121	7.14713848044776	6.88182997934114	6.78781630286397	6.74501201921207	6.95708649170428	6.86603599457689
Region1210	7.27409400716375	7.21505268540259	7.09807026633474	7.201059190069	7.00717602014293	6.72604630168451
Region1211	7.282393626104	7.0625934772777	7.20670885560248	7.27359157796179	7.2925300951945	7.02992635509785
Region1212	7.05491566665679	7.09029374559293	7.0311527366305	7.02308600342156	6.86459795784287	6.91770229083725
Region1213	7.42505631526381	7.55250045323939	7.3955733491656	7.34227814361163	7.47693325369699	7.55800442771714
Region1214	7.72038901136748	7.3181046341112	6.70920592805156	7.68137414991477	7.27723253835989	7.01151947115205
Region1215	7.17235784248418	7.39143131236139	6.07271935037078	6.20742754134006	7.35508704048361	7.21298469941546
Region1216	7.00293021972858	7.23300103348585	7.07107260896273	6.98636591327365	7.20316936996268	7.29233468008672
Region1217	6.91386984623725	6.99876072056366	6.70578306813024	6.52356047951492	6.93053913896319	7.0771386942578
Region1218	7.57917699772821	7.752714827023	7.31912832662656	7.95949357771345	7.36147364925683	7.32140441069308
Region1219	7.61042286888315	7.76848209740138	7.5603149942862	7.61923858393085	7.61992343855979	7.67230340896735
Region122	8.21178755322224	8.43036002337265	8.29378487351665	8.33227834058187	8.4764027102585	8.36211353887641
Region1220	6.69520266122878	6.97264920430046	6.70851808479879	6.6808061839343	6.9598358265702	6.5964341050331
Region1221	7.31433707911853	6.41947959373535	6.37340698022136	6.23349373188296	6.5165027439344	7.09070913029572
Region1222	8.25236128581392	8.60056304906644	8.47030899821643	8.37250624934591	8.60913700940572	8.46514642168649
Region1223	9.79667281119879	9.34124649997842	8.8690024329011	8.87019497405841	9.33426078737861	9.83398538584077
Region1224	10.5322470866966	10.0976419673574	9.86371138865567	9.86355402832531	10.0576549542477	10.4836214538041
Region1225	7.48020177615839	7.47930358561365	7.5448806298148	7.31445483414981	7.44088035113983	7.78845963483289
Region1226	7.47102118509371	7.66405262669499	7.68809790732044	7.5493884469582	7.6176964977904	7.66392711836295
Region1227	8.10979840630469	8.34697993256601	8.41519322057212	8.4882746397832	8.32401451606966	8.25581473150705
Region1228	7.88482048141676	8.30174438779252	8.34684022073803	8.26831953869306	8.43731921761419	8.1772763091978
Region1229	7.83306303466861	7.515871803505	7.60542071211333	7.60705826429819	7.63690673495673	7.88228506178983
Region123	9.01135080067873	9.16093723247855	9.19982439727001	9.12133237925727	9.22204371708755	9.18757808352649
Region1230	8.3171490999683	8.28788754029198	8.38821391541241	8.35269990909336	8.31476255625413	8.51923236438562
Region1231	8.60989031344996	8.88135739977546	8.81900605009412	8.70956910787034	8.87138839793302	8.77155702668721
Region1232	7.51107349854388	7.63219686369629	7.37433245454709	7.23059327202704	7.55736686506744	7.47010721647986
Region1233	8.06902045678109	7.98173086211486	7.67059212972355	7.91463906492498	7.82952367312907	7.68525993394421
Region1234	8.15889944727186	8.16166372931293	8.0488627631046	8.05490304037145	8.06556093854778	8.18450622550654
Region1235	7.64405135752277	7.3979344366178	6.88941819294585	7.38282716349086	7.30215586325501	6.94510134306223
