geneID	PPC_Gd7	PPC_Time	PPC_Toll10b	PPC_Toll9	PPC_factor	PPC_direction
FBgn0000014	-1.50367561391182	3.24930117868387	0.0626637893854755	1.99055541985722	Time	Up
FBgn0000015	0.0354262273300512	0.297354376858104	0.223526291357388	-0.410214360322822	Toll9	Down
FBgn0000018	-0.585347882152161	0.720961038083442	0.26438921842318	0.387352644236997	Time	Up
FBgn0000042	-0.843316584869649	0.639329966692813	0.120782365223158	0.97809453696629	Toll9	Up
FBgn0000043	0.452848899764188	0.322789893218661	-0.593683703538798	0.328684684155019	Toll10b	Down
FBgn0000044	-4.84860209479175	-0.473889786281043	8.64434493357243	-7.2134229082833	Toll10b	Up
FBgn0000046	-3.23249351147063	-0.065269299952961	6.34178407526166	-5.74356446989182	Toll10b	Up
FBgn0000063	-0.0131203650744351	0.814230894925597	-0.0978149885477874	0.176195840573797	Time	Up
FBgn0000064	-1.18151886841297	0.741540964749291	2.00171052907279	-1.58861903173508	Toll10b	Up
FBgn0000071	-0.322880068685686	-2.96670225907263	1.00421222735453	-1.17237298543295	Time	Down
FBgn0000077	0.0287614199140006	-0.593306523781011	0.809187221061619	-1.34662435439766	Toll9	Down
FBgn0000097	-0.693224881979234	0.474635294444654	0.609811889234886	-0.0203439065980371	Gd7	Down
FBgn0000100	0.0612478001393075	0.307576840588249	-0.0436158647726009	-0.0147732558785208	Time	Up
FBgn0000115	0.125023195793986	0.588899017420554	-0.0539564863081851	-0.0867929762466437	Time	Up
FBgn0000117	0.397404356339776	-0.307048724204093	-0.284884116257003	-0.0928136506229146	Gd7	Up
FBgn0000119	0.655828373648968	0.562412591984091	-0.947462369794166	0.617578268617433	Toll10b	Down
FBgn0000137	-4.74637359417483	1.83891337155995	2.35862424379748	2.79407850936431	Gd7	Down
FBgn0000139	-0.081545544450062	-1.01981521503227	0.167447795891184	-0.156945368503749	Time	Down
FBgn0000140	0.0916871813833948	-0.456774260785852	-0.307211990745627	0.368518222401219	Time	Down
FBgn0000146	2.42327209072872	-0.214303196786213	-2.30579978443644	0.352255573927539	Gd7	Up
FBgn0000147	-0.0982190582015971	0.936089685496426	-0.163315293110818	0.400340309077423	Time	Up
FBgn0000152	0.626075769140519	0.12756285468867	-0.886361368031266	0.560305351745883	Toll10b	Down
FBgn0000157	1.78087280271511	-0.515389617554811	-1.24176782138622	-0.472231519572488	Gd7	Up
FBgn0000163	-0.390129269066995	0.334193330019314	-0.575693612808796	1.47228970436557	Toll9	Up
FBgn0000180	0.0531930101577568	0.204790750579001	-0.173449112195255	0.206076621419361	Toll9	Up
FBgn0000181	-0.144086723467416	-0.61106777465329	-0.223220855940171	0.560877124344717	Time	Down
FBgn0000212	-0.493681205462739	0.812094641253627	0.522661998828752	-0.157202969287839	Time	Up
FBgn0000227	1.47949138624834	-7.86455294629831	-1.22962687491103	-0.0725887186779887	Time	Down
FBgn0000228	0.53064154583847	-6.67217900742549	-0.610609042732986	0.247798288392886	Time	Down
FBgn0000229	-1.58967427372787	2.25728014035477	1.27659688008468	0.150018813753567	Time	Up
FBgn0000233	0.342944424348698	-1.00125626006285	-0.89710393787743	0.971511340776243	Time	Down
FBgn0000239	-0.877684042883162	0.613113840684428	-0.124355552540819	1.42173289146774	Toll9	Up
FBgn0000250	0.928636518002678	-0.416866720325718	-1.52789568949281	1.1753191753441	Toll10b	Down
FBgn0000251	1.81913881777446	-2.82574173478855	0.245844481096519	-2.9275474659763	Toll9	Down
FBgn0000257	0.37187346291684	-1.3470622236521	0.247278118288533	-0.916593643315985	Time	Down
FBgn0000259	-0.543469430197849	0.114588834794003	0.158227269065232	0.500518515370873	Gd7	Down
FBgn0000273	-0.256743094500565	0.0491644985364017	-0.281974875701765	0.812463263821117	Toll9	Up
FBgn0000283	0.0483866541584232	0.0701409395068721	0.345985085972914	-0.625980681365578	Toll9	Down
FBgn0000286	-0.41743590753237	0.403016265551457	0.344417977954866	0.0245484249479741	Gd7	Down
FBgn0000289	0.509106117900733	0.312942178694297	-0.146776728125808	-0.471205709919985	Gd7	Up
FBgn0000307	-0.65762181593519	0.906414216152918	0.60794190712825	-0.0668512817973425	Time	Up
FBgn0000308	0.424915337123997	0.0296412345870063	-0.41101413168278	0.0725815245935503	Gd7	Up
FBgn0000316	0.149826248697738	-1.26997239664869	0.604900567759572	-1.18516903773868	Time	Down
FBgn0000319	0.266209349573639	0.435506374873826	0.459620434803389	-1.11248034048458	Toll9	Down
FBgn0000320	0.355149146738857	0.590015954981744	0.0940845150607514	-0.645963171425928	Toll9	Down
FBgn0000330	0.69135082951025	0.150452509607104	-0.144097498834009	-0.72904976584239	Toll9	Down
FBgn0000339	0.103380616347195	-0.219492223003829	0.217650578876632	-0.495257014571485	Toll9	Down
FBgn0000352	-0.100410099834308	-0.458943511980805	0.0396513733549403	0.0756528965775531	Time	Down
FBgn0000370	-0.180085765904264	0.287944419753978	0.0885201752169713	0.10757882708059	Time	Up
FBgn0000377	-0.255645164654543	-0.131954635296663	0.760550044088879	-0.872455031785998	Toll9	Down
FBgn0000384	-0.942060074818555	1.56515414942686	0.752567179631691	0.0952964065233975	Time	Up
FBgn0000394	-0.209338120671338	0.183914793424481	-0.0707065741528775	0.405378733800935	Toll9	Up
FBgn0000395	1.66318446978712	-0.357056201283015	-1.64514190011459	0.342821107236931	Gd7	Up
FBgn0000404	0.762455573360936	-0.154682065045408	-0.851708402081836	0.31463447886384	Toll10b	Down
FBgn0000405	0.0697859326124694	-0.771854049088395	0.0716132104042584	-0.212713782477886	Time	Down
FBgn0000411	0.0908582539668391	-0.768775839608997	-0.134364152636895	0.0905696167253552	Time	Down
FBgn0000412	0.747957236074475	-1.47495713179688	-1.62102006647351	1.577029621042	Toll10b	Down
FBgn0000414	-3.03511155168694	-0.192350511546873	2.76927013497007	-0.249512166507851	Gd7	Down
FBgn0000416	0.901678492166855	0.188641100636772	-0.418798542200054	-0.578066744049184	Gd7	Up
FBgn0000447	0.750754467509057	0.351840750440235	-0.172225726684881	-0.766265909409981	Toll9	Down
FBgn0000449	1.3821712876781	0.201889065519984	-1.59791895825942	0.657482195430952	Toll10b	Down
FBgn0000455	-0.282267932212285	0.189541392424732	-0.278578456204054	0.842486192848308	Toll9	Up
FBgn0000459	0.324595968663319	-0.607678025859485	-0.552711036777332	0.440935793065641	Time	Down
FBgn0000463	1.02085719499643	0.229984229020696	-0.399618518664063	-0.774824881330348	Gd7	Up
FBgn0000477	0.946068831972259	-1.30279006840621	0.315820176349214	-1.8260246301507	Toll9	Down
FBgn0000489	-1.60340928346559	-1.26320527937841	1.91945613125666	-0.868915485599313	Toll10b	Up
FBgn0000490	3.29861532666164	-1.40045901776982	-2.28680096495044	-0.896098912895267	Gd7	Up
FBgn0000492	0.397515833934946	-0.418903233664897	-0.977316423987227	1.02511898689394	Toll9	Up
FBgn0000499	-1.49519660437226	-0.492061009471217	1.18891030542449	0.160182067946664	Gd7	Down
FBgn0000520	-0.841665252722572	0.0583305209964221	0.925877197133755	-0.324209305190644	Toll10b	Up
FBgn0000524	-0.586861922861032	0.508170134068988	0.691845550366112	-0.300765594156855	Toll10b	Up
FBgn0000536	-0.971627355537006	0.31889261136242	0.648988661102045	0.303677816066905	Gd7	Down
FBgn0000541	0.0607558548300651	0.347095096421702	-0.2591511848012	0.333941337111471	Time	Up
FBgn0000542	0.852640439088142	-0.0781556104880625	-1.77289322247564	1.67663978639387	Toll10b	Down
FBgn0000543	-0.28995952010504	-0.206128607249948	0.732839599728361	-0.779976110059306	Toll9	Down
FBgn0000546	-0.541282492806207	0.0822169828195343	1.46262174681539	-1.60876198667131	Toll9	Down
FBgn0000547	-0.215648733755375	-0.000387182450592544	-0.0951316049652052	0.453597037635951	Toll9	Up
