transcriptID	Gd7_PolII_rep1	Gd7_PolII_rep2	Toll10b_PolII_rep1
FBtr0070906	11.3001591629335	11.3944922929768	11.37283093821
FBtr0070909	10.2996221516828	10.2493376743296	10.2629331578686
FBtr0070912	9.39788650570796	9.4916591780487	9.5278654354286
FBtr0070913	9.65523880237269	9.77043692450388	9.90297979773614
FBtr0070914	10.3984069703646	10.4528800892801	10.6818482065352
FBtr0070918	9.53475464795912	9.69469028038176	9.71959725420428
FBtr0070921	9.46134213132081	9.46964042376754	9.42312825065741
FBtr0070922	8.05249331881529	7.85979980636256	8.18235192476578
FBtr0070925	9.815551279515	9.81755970794529	10.0413418560915
FBtr0070937	11.4327321636803	11.5345883244864	11.4071458320549
FBtr0070944	8.3337229785307	8.38702998279864	7.95133700692241
FBtr0070945	5.36681567847712	5.34763122051164	5.30009716062316
FBtr0070950	5.61249892227479	5.65485744450481	5.6925586978129
FBtr0070951	7.00005892285631	6.60349522411146	7.08287259783235
FBtr0070952	10.779783443767	10.8781730322083	11.2447086533687
FBtr0070953	7.89778395388442	7.84332844941153	7.69264471442618
FBtr0070955	8.77740713609034	8.84603865984147	8.66659836406298
FBtr0070959	7.56997424077488	7.57231824985664	7.3216298754785
FBtr0070961	10.5490082449332	10.6590565181046	10.6675199143278
FBtr0070969	10.3785304618442	10.3594458865425	10.6031798484218
FBtr0070970	9.05989736485837	9.18858417824154	9.28638172354609
FBtr0070974	9.72244225810672	9.88714059121156	10.3587496063595
FBtr0070987	6.21716079196833	6.00424756697223	5.78457039737713
FBtr0070989	9.04868360661066	9.15042244248489	9.24600451242642
FBtr0070990	9.84700283601817	10.0610060105143	10.1519671212263
FBtr0070991	10.4830716858372	10.5784386944185	10.6297774662377
FBtr0070993	8.74263918560011	8.83332152810767	9.01975912866115
FBtr0070994	9.2236406594497	9.20633732367003	9.42099941418778
FBtr0070995	9.14782797365185	9.18715439651619	9.35517455126335
FBtr0071003	9.2624808488212	9.21593074584148	9.54752009169396
FBtr0071006	7.8519430187596	7.49107071010622	7.83767204221781
FBtr0071009	8.29561408594238	8.30750251074228	8.43121893563542
FBtr0071013	5.85570729566505	5.79145572152018	5.59390773436218
FBtr0071015	8.3787978624356	8.48663754247462	8.45051640042745
FBtr0071018	10.3157725561634	10.3273915547083	10.2066986440906
FBtr0071019	8.83180677933769	8.74118511496399	8.92254236298634
FBtr0071020	9.81001271028605	9.87680219769108	9.7601392943276
FBtr0071035	8.13432164554412	8.06334679498368	8.12205917810062
FBtr0071038	8.04903383071382	8.11649984819444	8.27689417647058
FBtr0071041	8.36057020943779	8.32466472118257	8.32214232168267
FBtr0071067	7.77877525587269	7.588535664199	7.77218412516709
FBtr0071070	9.86016308401357	9.83933406371334	9.91726818231266
FBtr0071071	9.85124394906621	9.85298559509405	9.94825024318246
FBtr0071075	7.25177692315212	7.00666294524261	6.94375415650482
FBtr0071077	9.89422314362691	9.89693437043881	10.1007021060747
FBtr0071078	8.15589607609666	8.11988273808104	8.09149454946377
FBtr0071083	11.704690986142	11.5500263781925	11.5350097763038
FBtr0071088	8.38348950974067	8.48796538832413	8.45499138616461
FBtr0071090	9.10720512815347	9.26337383881709	9.44732350260662
FBtr0071091	8.63009990964156	8.54644283012361	8.48714424593618
FBtr0071093	8.76002173655248	8.94673022884692	9.05429738301743
FBtr0071105	10.5404773612233	10.5731094460722	10.7348590472001
FBtr0071106	8.38818083530233	8.25313039806279	8.32324929591384
FBtr0071112	9.10749345554434	9.24127722093383	9.13525505140532
FBtr0071116	8.60066571417022	8.56808664632184	8.37157330604871
FBtr0071117	10.9321999407213	11.0606986071296	11.1511397475531
FBtr0071118	9.03852172565936	9.17641332211457	9.13125150710949
FBtr0071123	8.34257830471819	8.30837897950259	8.40876854284264
FBtr0071127	9.25624829937086	9.31977945920928	9.34125790864612
FBtr0071132	9.08858031238833	9.17950702181877	8.89449997113988
FBtr0071133	7.87895449434345	7.77211449051456	7.81879397226527
FBtr0071136	9.36708517429739	9.48482605706888	9.69510406101883
FBtr0071142	10.9992868512213	11.1281444998331	11.2825823452976
FBtr0071150	7.04244726681789	6.79945034352621	6.97717776820839
FBtr0071151	9.85293778157344	9.89939207515524	9.94651146722827
FBtr0071155	7.82040988717016	7.87286866038797	7.99617869581417
FBtr0071158	8.45100629345561	8.46180474146797	8.56837252433412
FBtr0071160	6.98336180199572	6.96472541148344	7.20744991759111
FBtr0071167	8.13838259662118	8.14676335203806	7.95208828480853
FBtr0071170	12.1195436928557	12.176846109187	12.0953853710819
FBtr0071173	9.2013274529022	9.28753006610548	9.11909243520861
FBtr0071175	10.6331231702169	10.6428578985976	10.8770288072393
FBtr0071178	7.34060091969288	7.1144385338145	6.95829628075091
FBtr0071180	7.1746229867521	7.40074458863846	7.66821212859165
FBtr0071186	7.33539813097193	7.24847626909684	7.52842488591386
FBtr0071187	6.79833701336406	6.87886454970937	6.94022008097218
FBtr0071188	8.949187471222	9.06703599581791	9.236820139347
FBtr0071189	7.99668134120894	7.99536280043541	7.73818027203087
FBtr0071190	9.34810106930207	9.44617506015007	9.50316162169373
FBtr0071193	10.9164368613832	11.0606741572824	11.1257987940519
FBtr0071194	9.53637940419409	9.64399318225553	9.77352690390824
FBtr0071198	8.97634478683625	9.01647612908748	9.10963647547543
FBtr0071213	8.86596847546824	8.98302711127058	8.82635075067551
FBtr0071214	10.5091237556379	10.4563021199596	10.4026991467577
FBtr0071223	8.08444467392927	8.04524555620554	8.12590242922691
