K27me3	geneID	K27me3_PC1	K27me3_PC2
Region10	FBgn0031270	0.15920026528788	0.586951666538443
Region14	FBgn0031375	0.0847502398819201	0.814149662926949
Region17	FBgn0000490	1.1591094870121	1.87769539744328
Region18	FBgn0000490	2.00625946194301	3.98372196004135
Region19	FBgn0000490	1.58157083088862	4.27163487137669
Region61	FBgn0004567	-0.0714331694449261	0.623610834482305
Region62	FBgn0004567	-0.657205874633612	0.196455021328146
Region101	FBgn0261963	-0.219519409349304	-0.613802540920509
Region102	FBgn0261963	-0.579420941078045	-0.148488838857682
Region121	FBgn0085409	0.414624154639062	-0.419567597123594
Region124	FBgn0000320	-0.262381533953501	0.0106846720101814
Region125	FBgn0000320	-1.0259952735147	0.477566098463327
Region127	FBgn0000320	-0.546433674975616	0.694507794553625
Region156	FBgn0284084	-0.410621753474683	0.80857778031591
Region157	FBgn0284084	0.0907528808748235	1.4643313610905
Region165	FBgn0029123	-1.817951108599	0.990502979199818
Region166	FBgn0029123	-1.66635771130753	0.354979150849306
Region187	FBgn0014179	-0.437827859671008	-0.586525726325123
Region188	FBgn0014179	-0.247598859964309	-1.37278989458957
Region210	FBgn0261648	0.647557457702205	2.04894211263578
Region211	FBgn0261648	0.564809683154743	1.63833995665415
Region220	FBgn0085424	-1.0014726254285	-0.2262968151425
Region221	FBgn0085424	-0.876743114381507	0.0234079893625319
Region224	FBgn0085424	-1.05412996036589	0.478149560710613
Region229	FBgn0004394	-0.189729547176309	1.01525768549825
Region230	FBgn0004394	0.0656908246895464	0.872327872284247
Region265	FBgn0001983	-1.63549045226164	-1.1954687093684
Region272	FBgn0003448	0.861937762272217	-3.52251164284023
Region273	FBgn0003448	0.568257592266946	-3.2423233208362
Region338	FBgn0003896	1.6561071186932	4.71654503954739
Region339	FBgn0003896	0.728104735457881	3.34222138512562
Region453	FBgn0003460	0.0571426787318009	0.772781507418983
Region454	FBgn0003460	0.260627357991628	-1.20805754455215
Region461	FBgn0025360	-0.563443935993878	0.898286263824349
Region462	FBgn0025360	-1.1148333052459	0.768724930189814
Region463	FBgn0025360	-0.408202219936706	0.383860845883237
Region471	FBgn0033391	-1.08510870507443	0.205396832158717
Region489	FBgn0001269	-0.517950460745265	1.34353200416889
Region490	FBgn0001269	-0.122852183639911	1.07566283217946
Region501	FBgn0000577	0.264144686167349	1.47411613104326
Region502	FBgn0000577	0.267120059717889	0.473370334093697
Region503	FBgn0000577	0.0167978742545378	0.293099801348528
Region514	FBgn0033652	-0.635603341554058	-1.09989622379913
Region523	FBgn0004512	-0.446724938396825	-1.43045060177538
Region524	FBgn0004512	-0.579808943967834	-1.63007522218781
Region548	FBgn0284250	-0.296897458434223	0.455643910741617
Region549	FBgn0284250	0.48671204742902	0.294751356123921
Region550	FBgn0284250	-1.52059478124384	0.446500353835375
Region591	FBgn0022740	-1.19334526139121	5.37537783060229
Region593	FBgn0259211	-0.361175052283218	1.58390559349402
Region597	FBgn0259211	-0.206196965446211	3.74122937240743
Region601	FBgn0003067	0.606076590124046	-0.797014511050565
Region609	FBgn0034476	0.704669430274435	0.0866437656378183
Region643	FBgn0000044	0.105931518734205	-0.508591485703782
Region644	FBgn0000044	0.236931880897433	-0.823199854511249
Region646	FBgn0008636	0.677222688410809	-0.622242130089057
Region647	FBgn0008636	0.51099783487159	-0.707536408793451
Region677	FBgn0003900	-0.85587417078388	-0.595654563418497
Region678	FBgn0003900	1.0845086263052	-4.80314401371911
Region681	FBgn0085400	1.70290377075211	-0.351523116428856
Region697	FBgn0000157	0.239635984394675	-0.0860392453698031
Region698	FBgn0000157	0.244371281799979	0.787131534176055
Region711	FBgn0001148	-0.398858431271129	-0.947374188754414
Region712	FBgn0001148	-0.297702313566149	-0.672528565925017
Region729	FBgn0052475	1.11055815148586	-4.34466713794579
Region730	FBgn0262139	-0.361356437194633	0.19631413323491
Region731	FBgn0262139	-0.611679269169698	0.785954104981247
Region734	FBgn0262139	-0.871354687293375	0.475543400388076
Region735	FBgn0262139	-1.00887898263962	0.0510341335532428
Region749	FBgn0000575	2.63603190771356	0.847939188183507
Region750	FBgn0000575	0.985629116317628	0.180899174781032
Region753	FBgn0028999	1.10008525524987	-1.09118959622938
Region754	FBgn0028999	1.1255895339881	-0.996250213718095
Region758	FBgn0025525	0.0384885284832193	0.221270809332671
Region783	FBgn0004635	-0.62203602369963	-1.18479361611168
Region895	FBgn0035954	1.69479712715069	4.19006625504244
Region895	FBgn0035956	1.69479712715069	4.19006625504244
Region896	FBgn0028789	1.60176949649132	3.77707052599747
Region897	FBgn0028789	2.01389026099323	4.78156632662979
Region1008	FBgn0014343	0.779800897482996	0.964171945724511
Region1009	FBgn0014343	0.429265496871087	0.951999037642233
Region1060	FBgn0040318	-0.0303702650998146	0.169472224659706
Region1061	FBgn0040318	0.0425711057834966	0.0543985346717846
Region1078	FBgn0025776	-0.265669127924471	0.72484178677642
Region1083	FBgn0044028	-0.609502445796314	-0.509988583473845
Region1141	FBgn0027364	0.110486987904088	-0.940555590949259
Region1142	FBgn0027364	0.428285763507294	-0.432366331728019
Region1146	FBgn0014143	0.0699632775200334	0.259190777819014
Region1147	FBgn0014143	0.00784808321141509	0.306387178741116
Region1182	FBgn0261434	0.248303219355745	0.801725775032045
Region1217	FBgn0004878	-0.360992431573726	-1.46384904621138
