Geneid	K27ac_Geneid
Region1225	Region384
Region1227	Region385
Region1228	Region386
Region1230	Region387
Region1234	Region388
Region1234	Region389
Region1254	Region390
Region1254	Region391
Region1256	Region392
Region1258	Region393
Region1261	Region394
Region1262	Region395
Region1262	Region396
Region1273	Region397
Region1273	Region398
Region1280	Region399
Region1285	Region400
Region1287	Region401
Region1292	Region402
Region1292	Region403
Region1295	Region404
Region1295	Region405
Region1297	Region406
Region1297	Region407
Region1306	Region408
Region1307	Region409
Region1311	Region410
Region1314	Region411
Region1315	Region412
Region1316	Region413
Region1316	Region414
Region1317	Region415
Region1317	Region416
Region1320	Region417
Region1321	Region418
Region1323	Region419
Region1323	Region420
Region1324	Region421
Region1332	Region422
Region1332	Region423
Region1332	Region424
Region1340	Region425
Region1340	Region426
Region1342	Region427
Region1343	Region428
Region1344	Region429
Region1345	Region430
Region1346	Region431
Region1348	Region432
Region1349	Region433
Region1350	Region434
Region1350	Region435
Region1350	Region436
Region1352	Region437
Region1353	Region438
Region1356	Region439
Region1356	Region440
Region1363	Region441
Region1364	Region442
Region1366	Region443
Region1370	Region444
Region1376	Region445
Region1376	Region446
Region1377	Region447
Region1377	Region448
Region1378	Region449
Region1378	Region450
Region1379	Region451
Region1382	Region452
Region1395	Region453
Region1403	Region454
Region1409	Region455
Region1409	Region456
Region1415	Region457
Region1415	Region458
Region1416	Region458
Region1419	Region460
Region1419	Region461
Region1420	Region461
Region1421	Region461
Region1422	Region461
Region1422	Region462
Region1423	Region462
Region1424	Region463
Region1431	Region464
Region1433	Region465
Region1434	Region465
Region1435	Region466
Region1436	Region467
Region1440	Region468
Region1444	Region469
Region1449	Region470
Region1456	Region471
Region1457	Region472
Region1458	Region473
Region1458	Region474
Region1462	Region475
Region1464	Region476
Region1464	Region477
Region1466	Region478
Region1476	Region479
Region1480	Region480
Region1485	Region481
Region1485	Region482
Region1489	Region484
Region1489	Region485
Region1490	Region485
Region1492	Region486
Region1500	Region487
Region1500	Region488
Region1506	Region489
Region1506	Region490
Region1506	Region491
Region1509	Region492
Region1527	Region493
Region1528	Region494
Region1534	Region495
Region1534	Region496
Region1534	Region497
Region1535	Region498
Region1536	Region499
Region1542	Region500
Region1545	Region501
Region1545	Region502
Region1548	Region503
