SYMBOL	PC1	PC2	PC3	distance
ind	-0.00484592400212982	0.00641303223476843	-0.126587390805973	0.126842333126377
Dr	0.00986504770734736	0.0138102119975426	-0.0908444603643575	0.0924162166536622
ey	0.01110481039633	-0.00801395187296181	-0.089279674328909	0.0903238644370171
magu	0.0050717990538893	-0.000378061378932789	-0.0845816932307112	0.0847344611467106
Meltrin	-0.0022807784820585	0.0161200794810959	-0.0776082040657541	0.0792974920869053
ppk19	0.0288504637499115	-0.010524795173468	-0.0715862781756339	0.0778955441284523
trh	0.0159762965060255	0.00181242734289757	-0.0759857535662511	0.0776682798055472
SoxN	0.0109049161288323	0.0240038101273288	-0.0709170179446405	0.0756592593842034
hkb	-0.0129859339682057	0.031664863026172	-0.05820856511681	0.0675243295742412
CG13334	-0.0285145449124256	0.00846267454837956	-0.0546762932174614	0.0622430170547376
CG1667	0.00492755770514868	-0.012182245242974	-0.056541628377424	0.0580486318845522
CG8654	-0.0204877418586992	0.0170679873067324	-0.0466233749430742	0.0537103607161035
E(spl)mdelta-HLH	0.0290854524379145	0.00141657885321905	-0.0449622456359252	0.0535684027369759
upd2	-0.00435527958731911	0.00661106976345324	-0.0523236927386654	0.0529192169774954
wnd	0.0252346872006682	-0.0199566333437803	-0.0416693428805117	0.0526440004998414
nub	0.00957090218844962	0.00499233992338186	-0.0505790099742	0.0517181000867364
Toll-6	0.0267665756316237	0.0147489406152215	-0.0410986360667506	0.0512160004965437
