SYMBOL	PC1	PC2	PC3	distance
pnr	0.0022061266599576	-0.115654736522432	0.063781718202667	0.132094635212023
CG12011	0.00741890618636933	-0.107427686008004	0.057992460436075	0.122306473080807
Doc2	-0.0191486867987599	-0.0999597621925207	0.0566626427149512	0.116487258286666
C15	0.00579586852659815	-0.102605758445497	0.0535180061881916	0.11586936931093
Doc1	-0.0225332227402317	-0.100419491766141	0.0490127715929592	0.11399154456737
egr	-0.0512264659303201	-0.0838626917398999	0.0577244903498673	0.113970253416072
tup	-0.0100692626944267	-0.0915568322896839	0.0593005759527159	0.109547258744592
cv-2	-0.0300550558639258	-0.0837619582003826	0.0431776888884302	0.0989125110503844
Alk	0.000915197726286079	-0.0848398962943303	0.0480348136866853	0.0974986610986299
Doc3	-0.0205042207520946	-0.0881414200110804	0.0350525980516242	0.0970464714473898
ush	0.00136812991514046	-0.0588763268435663	0.0751863351780864	0.0955053853956241
Oaz	0.0124213277683676	-0.0773579347636611	0.0417813728393248	0.0887931448410672
CG13653	-0.0610914708074327	-0.0268589446821926	0.0482047853911878	0.0823241887264427
Dll	-0.0122362016288525	-0.0701383254283773	0.0344571719257971	0.0790974463641074
CG45263	-0.00177848080082237	-0.0596384482002908	0.0515711110420712	0.0788637241817256
Wnt2	0.00744946799366423	-0.0703492693500402	0.033218878896821	0.0781537471055278
dpp	-0.0264186574618478	-0.0637841874579543	0.0329711676029163	0.0765079468085342
CG13868	-0.019693039120364	-0.057167559199661	0.0309953572887008	0.067945991700005
B4	-0.0183893204867918	-0.0289814893515889	0.0568882234339664	0.0664406787930037
bnl	0.00842648960379752	-0.0484995546326408	0.0396806521147427	0.0632278947843327
Mrp4	-0.0120358434456637	-0.0517318387980929	0.031025196922707	0.0615110357332174
CG14204	-0.0344220320875925	-0.046731560869194	0.0175211944984451	0.0606276119516741
CG8026	0.0069702765886836	-0.0536331757840902	0.0265281647573066	0.0602399022725027
CG32485	-0.00259510976158892	-0.0434868680751845	0.0400774575475459	0.0591949735462273
grn	-0.00244780454108029	-0.0534957186958128	0.0244543599809352	0.0588710403163562
Dad	0.0161650035758666	-0.0451190911692706	0.022141657111064	0.0527948170578577
tok	-0.0373394278087273	-0.028598158348795	0.0225771886090652	0.0521710357910902
kay	0.0167945952445266	-0.0382991035830459	0.031146275359214	0.0521437458708553
shn	-0.0183748279956354	-0.0298994505196312	0.0370907890538403	0.0510621002102493
CG43980	0.021049058969506	-0.04524343065139	0.00870659184281534	0.0506540782378503
salm	-0.0241981965617406	-0.0411509366373403	0.0150480522574114	0.0500539327097563
