K27ac	geneID	K27ac_PC1	K27ac_PC2
Region4373	FBgn0003118	0.135528936971105	-2.17047955738622
Region4452	FBgn0004885	0.158150325808188	-0.491625637702722
Region4453	FBgn0004885	1.00078365282692	0.827994406133792
Region4454	FBgn0003719	2.72934529938732	2.28283856125727
Region4572	FBgn0027579	-0.0184317373605852	-0.550223648372822
Region4573	FBgn0027579	-2.77686975460428	1.50819387054556
Region4643	FBgn0039679	2.94502820048531	4.5197294459323
Region4727	FBgn0002780	-1.62856572255825	2.69964978865331
Region4728	FBgn0002780	-2.72354517071582	1.02552804177626
Region4776	FBgn0005558	-0.837216855252221	0.107124604960372
Region4777	FBgn0005558	-1.94693605504694	0.254893691466969
Region4815	FBgn0002561	0.464917247445879	0.263984606322169
Region4816	FBgn0002561	0.960516237954391	0.26397477537431
Region4931	FBgn0264598	-0.0474122535601886	-1.0442301351069
Region4963	FBgn0262656	-1.59082314884707	-1.2969070126106
Region5120	FBgn0024250	2.55364383387661	-5.59192362127544
Region5124	FBgn0029943	2.45932038951447	-4.51627059802459
Region5125	FBgn0029943	-0.161675816492592	0.279425041093251
Region5128	FBgn0029504	-2.08043141678204	-1.36492425392485
Region5131	FBgn0029959	0.00168692286166382	-0.242758382343669
Region5160	FBgn0261873	0.333112457715614	0.218175773011462
Region5162	FBgn0261873	1.09446158410069	3.72946888073913
Region5236	FBgn0083940	0.175873124706555	0.120779569491921
Region5237	FBgn0083940	1.34888805826744	0.493510919416174
Region5341	FBgn0030407	0.170575170654756	-0.0151005291134085
Region5391	FBgn0030482	-4.61781984071477	-1.58598570533279
Region5400	FBgn0030510	-3.04040761404701	-0.735995864787624
Region5428	FBgn0030582	0.0428031229945457	-0.26001263652891
Region5452	FBgn0003463	0.530873825898787	-6.15190753906345
Region5543	FBgn0001250	-3.41443316857338	-1.11064478139444
Region5544	FBgn0001250	0.471501352308987	0.112166731579188
Region5568	FBgn0000163	-0.0207323491987745	-0.568725803213885
Region5569	FBgn0000163	-0.0589955152889067	-0.467275990367499
Region5684	FBgn0040089	-3.07469421707116	-0.0253678092212322
Region5755	FBgn0000719	1.53752095462032	0.14336333860701
