geneID	transcriptID	factor	direction
FBgn0261245	FBtr0074318	Toll10b	Up
FBgn0264005	FBtr0346339	Toll10b	Down
FBgn0268063	FBtr0332144	Toll10b	Up
FBgn0000492	FBtr0085441	Toll9	Up
FBgn0000576	FBtr0082863	Toll9	Up
FBgn0002734	FBtr0084954	Toll9	Up
FBgn0002931	FBtr0330637	Toll9	Down
FBgn0005558	FBtr0089236	Toll9	Up
FBgn0012037	FBtr0080552	Toll9	Down
FBgn0025776	FBtr0333875	Toll9	Up
FBgn0027364	FBtr0078274	Toll9	Down
FBgn0027596	FBtr0303757	Toll9	Down
FBgn0027930	FBtr0078903	Toll9	Up
FBgn0029082	FBtr0345419	Toll9	Down
FBgn0029123	FBtr0079733	Toll9	Up
FBgn0030904	FBtr0473620	Toll9	Up
FBgn0031738	FBtr0332039	Toll9	Down
FBgn0032535	FBtr0080554	Toll9	Down
FBgn0033453	FBtr0345020	Toll9	Up
FBgn0033856	FBtr0087677	Toll9	Up
FBgn0034005	FBtr0087371	Toll9	Down
FBgn0036494	FBtr0306307	Toll9	Up
FBgn0036896	FBtr0302513	Toll9	Up
FBgn0039679	FBtr0085451	Toll9	Up
FBgn0051098	FBtr0084863	Toll9	Down
FBgn0085400	FBtr0330239	Toll9	Down
FBgn0085424	FBtr0112643	Toll9	Up
FBgn0261434	FBtr0078951	Toll9	Up
FBgn0262139	FBtr0333902	Toll9	Up
FBgn0262169	FBtr0113062	Toll9	Up
FBgn0262473	FBtr0330155	Toll9	Down
FBgn0262582	FBtr0305026	Toll9	Up
FBgn0263930	FBtr0305901	Toll9	Up
FBgn0265140	FBtr0301499	Toll9	Up
FBgn0000097	FBtr0077851	Time	Up
FBgn0000251	FBtr0081413	Time	Down
FBgn0003892	FBtr0089427	Time	Down
FBgn0005536	FBtr0475267	Time	Up
FBgn0011739	FBtr0085720	Time	Up
FBgn0011785	FBtr0084604	Time	Down
FBgn0020278	FBtr0084275	Time	Down
FBgn0033159	FBtr0111076	Time	Down
FBgn0041184	FBtr0081040	Time	Down
FBgn0259111	FBtr0331659	Time	Down
FBgn0261015	FBtr0301876	Time	Up
FBgn0266696	FBtr0345095	Time	Down
FBgn0283525	FBtr0077959	Time	Down
FBgn0002561	FBtr0070074	Gd7	Down
FBgn0003067	FBtr0086701	Gd7	Up
FBgn0031745	FBtr0079158	Gd7	Up
FBgn0034075	FBtr0300575	Gd7	Down
FBgn0034590	FBtr0071636	Gd7	Up
FBgn0037031	FBtr0300873	Gd7	Up
FBgn0038071	FBtr0082648	Gd7	Up
FBgn0041094	FBtr0076168	Gd7	Up
FBgn0050020	FBtr0339521	Gd7	Up
FBgn0260746	FBtr0082487	Gd7	Down
FBgn0261560	FBtr0345289	Gd7	Up
FBgn0263102	FBtr0088281	Gd7	Up
FBgn0000489	FBtr0075529	Toll10b	Up
FBgn0000547	FBtr0077465	Toll10b	Down
FBgn0001254	FBtr0073141	Toll10b	Up
FBgn0003308	FBtr0082704	Toll10b	Up
FBgn0004635	FBtr0072694	Toll10b	Up
FBgn0014388	FBtr0073146	Toll10b	Up
FBgn0023214	FBtr0086652	Toll10b	Up
FBgn0031645	FBtr0077391	Toll10b	Up
FBgn0033638	FBtr0300945	Toll10b	Up
FBgn0085412	FBtr0112623	Toll10b	Down
FBgn0265991	FBtr0329910	Toll10b	Up
FBgn0000477	FBtr0083538	Toll9	Down
FBgn0000719	FBtr0333182	Toll9	Down
FBgn0002543	FBtr0329985	Toll9	Up
FBgn0003326	FBtr0087856	Toll9	Up
FBgn0030582	FBtr0300432	Toll9	Up
FBgn0033652	FBtr0088030	Toll9	Up
FBgn0035968	FBtr0332124	Toll9	Up
FBgn0039994	FBtr0111288	Toll9	Up
FBgn0040271	FBtr0334700	Toll9	Up
FBgn0284252	FBtr0072349	Toll9	Up
