geneID	min	max	mean	sd	overQC
Region100	7.15973322234093	7.55874439662674	7.34446507931312	0.122095065607146	12
Region1000	7.35795040771263	8.09811528079747	7.7500354103879	0.291213585293304	12
Region1001	8.8630423346672	9.62450697698021	9.25284001097648	0.309691086851871	12
Region1002	5.51266387124673	7.65502254419898	6.89385486748845	0.757611070353702	12
Region1003	6.79470826172989	7.90822544664094	7.36648062028865	0.335634033391348	12
Region1004	6.69133901856871	7.30942015008146	7.01828020103447	0.1927006996847	12
Region1005	7.14067309141719	7.46561518516702	7.2596112215323	0.106531682590254	12
Region1006	6.28043244639064	6.7584083353868	6.53826379060615	0.167477154642358	12
Region1007	7.67896061944711	8.49953732359013	8.01708520884411	0.294935902076654	12
Region1008	6.29472625887817	6.82567961765421	6.60563047562777	0.162378509814764	12
Region1009	6.63458374428487	7.62945240341105	7.1698506926714	0.319826154934177	12
Region101	6.81454625090472	7.29996760650561	7.03297726134112	0.14368570098969	12
Region1010	7.18415931282475	7.60674439201901	7.43515865619358	0.134597567127412	12
Region1011	8.01725832394418	8.70976668965194	8.46223975265115	0.220935103515327	12
Region1012	7.70800712070197	8.18770459606604	7.83726209576093	0.156960569623048	12
Region1013	6.93277142568434	7.38183044006874	7.1966900708406	0.14050431310977	12
Region1014	6.94985646226119	7.3607101294773	7.18844287066901	0.136441321933609	12
Region1015	8.40110877947256	9.24944197845692	8.76901743597852	0.334718118572705	12
Region1016	7.21685149442512	8.26849748866256	7.7915116598269	0.38555746630961	12
Region1017	5.46989956320134	6.76765749835713	6.25975307637366	0.488930594414121	12
Region1018	5.76844081556649	6.73421308610751	6.33441200661988	0.325486021002001	12
Region1019	7.22244875847191	8.61024805102183	7.94734464345938	0.419278598469775	12
Region102	7.18648771917194	7.72177008917159	7.41474401699581	0.16423825931242	12
Region1020	5.52394563053687	8.39813274674779	7.02776967757571	0.887354365242609	12
Region1021	6.02834757743884	8.10085738642306	7.34369234195005	0.855966373084835	12
Region1022	6.8935966484096	7.14819889626559	7.05900506920993	0.0773485357643735	12
Region1023	6.30380412688574	7.05583482510794	6.69682486767441	0.23268242079442	12
Region1024	7.62122274874297	8.39345208535943	8.02446724430058	0.234400524249882	12
Region1025	6.27824707742858	6.72788950706573	6.48448892243524	0.132248923499428	12
Region1026	5.11303851269199	5.6280730201788	5.35929697489868	0.17410404155444	12
Region1027	6.70239172220074	7.90757527226266	7.32701977941684	0.454210375760085	12
Region1028	5.87069721181688	6.53481061323314	6.27166335424245	0.219614912574452	12
Region1029	5.47691020405172	6.0657499547302	5.8680342504617	0.153832166946945	12
Region103	7.92300379894412	8.32169424633572	8.04924754577535	0.109190555698344	12
Region1030	6.89438022048058	7.37762416746464	7.15870567419642	0.130944510729131	12
Region1031	7.28948800307551	7.87348253343052	7.58720557701786	0.182730833368552	12
Region1032	5.60660135347309	6.8318840243679	6.41339754996653	0.430677033518287	12
Region1033	6.93782890573909	7.8161176071123	7.52281597248302	0.33820101703451	12
Region1034	7.89480125789567	9.05394891229357	8.37635556857631	0.412662070425994	12
Region1035	6.86728340440972	7.43512242983512	7.13270911507881	0.196441260884211	12
Region1036	6.29575138637545	7.96176614722104	7.34000139342088	0.52043565854458	12
Region1037	7.23186239798981	8.12294293418876	7.68657632784585	0.304742158902809	12
Region1038	6.85629919450675	7.48786298609694	7.29964770815951	0.184739701379142	12
Region1039	8.30560791758284	8.94705734937782	8.63366004292859	0.268414179309229	12
Region104	5.82878480425232	6.43504893133519	6.15719137571646	0.181280420906906	12
Region1040	6.82203685169644	7.30401843977361	7.07594307476963	0.164222837379446	12
Region1041	5.61746134065793	6.90210386652841	6.43261971468618	0.472443920272881	12
Region1042	7.04008339877968	7.75301285720196	7.44801040863597	0.253376948817788	12
Region1043	5.94751580431609	6.82131536506916	6.47493832484211	0.294873533807362	12
Region1044	8.39560723614569	8.87685148542944	8.61643168255239	0.13386670208108	12
Region1045	7.94310406449349	8.50617423200694	8.13331589130085	0.178121636200716	12
Region1046	5.55867990332512	7.32689437879357	6.69717591589722	0.558745265026547	12
Region1047	8.69506112903453	9.21196982559681	8.94830942039324	0.197136386078191	12
Region1048	6.13178549087844	7.55230803374359	6.96266978502839	0.548183770911523	12
Region1049	6.08724335250042	7.04951103382969	6.66444338180049	0.348997218535181	12
Region105	8.93472192278807	9.57804694596752	9.26408908399699	0.277615733013239	12
Region1050	6.1331592659624	6.95360049285161	6.63116010121215	0.275043662305882	12
Region1051	8.49175723194218	9.34368626319483	8.8294273622471	0.297924428542821	12
Region1052	9.43255047622002	10.1851322877971	9.76844050434602	0.340913889162309	12
Region1053	7.70987296148442	8.32032618414919	7.96237027717103	0.199120041391307	12
Region1054	6.94450032528957	8.37139241365438	7.80983419249792	0.492942533214164	12
Region1055	6.24868841418842	7.90430128123869	7.44253660349868	0.554677931354397	12
Region1056	7.69317813141494	8.69550088289754	8.31953144258842	0.306591593148268	12
Region1057	6.32994224303008	7.1946655244109	6.82384852691285	0.240394869891872	12
Region1058	5.30963729233982	6.96871436256561	6.50190393104447	0.550041168631151	12
Region1059	7.03394459023858	7.50880003128787	7.25004786395088	0.165119279123778	12
Region106	6.05082896669877	6.80141377406956	6.44477738819353	0.239314508862815	12
Region1060	6.94578042642711	7.76070937539798	7.48078987613758	0.328672232095946	12
Region1061	8.58389932876717	9.39001330117348	9.00160997755809	0.357671726878814	12
Region1062	7.39444981055543	8.06294849322835	7.75647994710465	0.178515495537771	12
Region1063	9.41828381548732	10.4072564519797	9.88702329366472	0.453265153594548	12
Region1064	7.66132108521801	8.41346126007801	8.1607897421552	0.247021623776212	12
Region1065	7.21283441575458	8.40629587810637	7.99146180053742	0.379117148614474	12
Region1066	7.50281059569531	7.83098148632446	7.65014877291804	0.109624010146955	12
Region1067	7.06146792819596	8.19049847307325	7.76924800539669	0.454203128470672	12
Region1068	5.92563618266123	7.04138727580141	6.62365122436628	0.369357075929296	12
Region1069	7.34158180489528	8.13781054729735	7.72475343020578	0.228261244687477	12
Region107	6.34497640436475	7.22370709801938	6.94876153623847	0.301381588874443	12
Region1070	6.25572189578849	6.79091322014717	6.51141593549041	0.181036971171467	12
Region1071	5.87650024590011	6.52345859644771	6.20165602156383	0.18102138518168	12
Region1072	5.95501415071176	7.32748109793139	6.81229762289821	0.498888693003108	12
Region1073	7.39891378009786	8.32524149012573	7.93000562486561	0.283486292551298	12
Region1074	7.59627609354999	8.32907892325055	7.84411028050347	0.234838158515155	12
Region1075	6.36927625176441	6.99605799853574	6.71854618356409	0.187350204870552	12
Region1076	6.39865122459265	7.75446210770213	7.11239300369228	0.446514498017737	12
Region1077	6.73394898742025	7.47219038051023	7.21144006791224	0.248197043684961	12
Region1078	6.18145297805034	7.51050129546936	7.13721086490642	0.441301546167065	12
Region1079	6.85218169653785	7.76216829856832	7.37833176894607	0.283830977795585	12
Region108	7.40167219999748	8.04055092728886	7.67526371782498	0.204912997573794	12
Region1080	6.63711222609922	7.19376287406935	6.9483920053633	0.148292126152147	12
Region1081	7.05086348098771	7.62795460413114	7.36319062651912	0.145225232267226	12
Region1082	5.52890862595752	7.28409921331726	6.55795505864107	0.666475242055267	12
Region1083	4.82625279991577	5.9822725608331	5.61771319198725	0.470595411059096	10
