SYMBOL	PC1	PC2	PC3	distance
mthl8	-0.00543913050201221	-0.0920710067100993	-0.0259424634525572	0.095810572627536
erm	0.0032940237904081	-0.0499347797220137	-0.0483190513555024	0.0695633778831468
Hmx	-0.00476538686488282	-0.0634981006461831	-0.00341230665577386	0.0637680290926248
hbn	-0.025917856357591	-0.0526953232807272	-0.0067352811918281	0.0591091903731227
tld	-0.0356328743429865	-0.0423578515770336	-0.00373862105807484	0.055478523877091
toy	-0.00302173780540378	-0.0486804517451359	-0.0132383286378639	0.0505388031773527
