geneID	ATACseq_geneID	factor	direction
FBgn0265140	Region5978	Toll9	Up
FBgn0265140	Region5978	Toll9	Up
FBgn0265140	Region5979	Toll9	Up
FBgn0265140	Region5983	Toll9	Up
FBgn0265140	Region5984	Toll9	Up
FBgn0003067	Region2781	Gd7	Up
FBgn0031745	Region480	Gd7	Up
FBgn0034075	Region2608	Gd7	Down
FBgn0034075	Region2608	Gd7	Down
FBgn0034590	Region2979	Gd7	Up
FBgn0037031	Region4800	Gd7	Up
FBgn0038071	Region5841	Gd7	Up
FBgn0038071	Region5841	Gd7	Up
FBgn0041094	Region4075	Gd7	Up
FBgn0041094	Region4075	Gd7	Up
FBgn0000489	Region4452	Toll10b	Up
FBgn0000489	Region4457	Toll10b	Up
FBgn0000489	Region4469	Toll10b	Up
FBgn0004635	Region3458	Toll10b	Up
FBgn0031645	Region426	Toll10b	Up
FBgn0031645	Region426	Toll10b	Up
FBgn0033638	Region2220	Toll10b	Up
FBgn0033638	Region2221	Toll10b	Up
FBgn0265991	Region2559	Toll10b	Up
FBgn0265991	Region2564	Toll10b	Up
FBgn0265991	Region2564	Toll10b	Up
FBgn0265991	Region2567	Toll10b	Up
FBgn0265991	Region2567	Toll10b	Up
FBgn0265991	Region2573	Toll10b	Up
FBgn0265991	Region2581	Toll10b	Up
FBgn0265991	Region2581	Toll10b	Up
FBgn0000477	Region6275	Toll9	Down
FBgn0002543	Region177	Toll9	Up
FBgn0030582	Region8764	Toll9	Up
FBgn0035968	Region3945	Toll9	Up
FBgn0284252	Region3231	Toll9	Up
FBgn0284252	Region3231	Toll9	Up
FBgn0284252	Region3238	Toll9	Up
FBgn0284252	Region3238	Toll9	Up
