geneID	ATAC_region	ATAC_factor	ATAC_direction	Time	Gd7	Toll10b	Toll9
FBgn0261963	Region874	Gd7	Down	-0.979629763908682	-1.2848591361476	0.266052509724458	1.18578019282122
FBgn0261963	Region888	Gd7	Down	0.269808609851102	-1.77092190253591	0.56675071336222	1.36139337967531
FBgn0031738	Region929	Toll9	Down	0.627707638070109	0.112648045486101	1.71641773634589	-2.47783420010841
FBgn0031738	Region930	Toll9	Down	1.36565713425048	1.91562671844355	0.0657532559941726	-2.39887394202832
FBgn0031745	Region944	Gd7	Up	-0.182926005791463	2.45787021913049	-1.98984149510061	-0.247660025388641
FBgn0031745	Region954	Gd7	Up	-0.959467657298294	2.3415541374549	-0.843610290323953	-1.6714768472226
FBgn0000320	Region1034	Toll9	Down	0.999844845939799	-0.134036657549611	1.28894048021923	-1.59718212145265
FBgn0000320	Region1035	Toll9	Down	0.946697286641334	-0.389498232081214	1.76881864853851	-1.94403284428828
FBgn0284084	Region1187	Toll9	Up	1.60863767349685	-1.79087460172417	0.172603292714694	1.92325747903984
FBgn0003502	Region1305	Gd7	Up	0.20383125809509	2.82965384156829	-1.56322443941901	-1.27793635337023
FBgn0003502	Region1327	Gd7	Up	1.26752289631406	1.65953122897081	-0.658227560915326	-1.10229994276834
FBgn0262029	Region1370	Toll10b	Down	0.52006177306329	1.11829487564943	-1.88378467205995	1.22239017425825
FBgn0262029	Region1375	Toll10b	Down	-1.33109875074328	1.5548910834145	-2.98100142336991	2.19325170861428
FBgn0029123	Region1406	Toll9	Up	0.682127611790587	-1.53845131867458	-1.23911154236884	3.54525790856341
FBgn0029123	Region1409	Toll9	Up	0.780090461961745	-0.870835772761702	-1.38066159794637	2.93363856976958
FBgn0029123	Region1413	Toll9	Up	0.872033558508654	-1.21265369736658	-0.549158349294595	2.21109342047149
FBgn0029123	Region1414	Toll9	Up	1.3430331228812	-2.25717254427456	-0.831129709420719	3.8549365134387
FBgn0029123	Region1415	Toll9	Up	0.444196410887219	-1.51260605267406	0.0219122108038005	1.7934415795152
FBgn0029123	Region1418	Toll9	Up	0.170117524155567	-0.862150676991258	-1.09622640136577	2.53505865125568
FBgn0029123	Region1419	Toll9	Up	0.381002847786139	-1.3068057180443	-0.723805494881743	2.5628923941931
FBgn0029123	Region1433	Toll9	Up	0.498764499125803	-1.10440578343139	-0.615049267007387	2.17051602194893
FBgn0051721	Region1673	Gd7	Down	1.05270445474525	-2.31309789425127	1.63156572339658	0.562012924616629
FBgn0051721	Region1676	Gd7	Down	-0.427504358429809	-1.94700597477283	1.0200046944853	0.955187227759625
FBgn0051721	Region1677	Gd7	Down	-0.421027216338969	-1.99391121769697	0.716563799633157	1.42577205420598
FBgn0051721	Region1683	Gd7	Down	-0.420465021184634	-2.09564595597278	1.04104413123303	1.10565409492228
FBgn0051721	Region1684	Gd7	Down	1.31783386364353	-1.49462823076171	0.299414510649399	1.39311983899517
FBgn0261648	Region1801	Gd7	Up	1.49671272499895	3.31017546129989	-2.99930166331446	0.10234987855784
FBgn0085424	Region1944	Toll9	Up	-0.39627796768281	-0.637251305005105	-1.38934480439415	2.6639170460716
