gd7_3h_rep1	gd7_3h_rep2	gd7_5h_rep1	gd7_5h_rep2	toll10b_3h_rep1	toll10b_3h_rep2	toll10b_5h_rep1	toll10b_5h_rep2	toll9_3h_rep1	toll9_3h_rep2	toll9_5h_rep1	toll9_5h_rep2
FBgn0011225	2058	1071	784	1356	486	631	1423	825	655	738	400	1066
FBgn0086365	65	38	101	191	33	64	215	88	45	52	48	118
FBgn0019952	46	39	116	227	48	52	264	127	70	69	79	213
FBgn0286199	17	8	27	41	22	6	51	17	12	11	12	24
FBgn0039178	5	3	22	8	9	9	11	17	11	8	7	7
FBgn0085319	7	4	2	2	5	7	8	2	7	8	5	7
FBgn0263398	1359	775	483	444	872	789	400	556	1002	929	196	494
FBgn0039180	9	2	1	3	3	9	6	1	4	3	3	6
FBgn0259685	6823	3067	311	809	1609	1861	887	306	4169	3855	335	899
FBgn0028471	845	423	401	371	449	532	430	433	711	698	237	530
FBgn0011785	2954	1468	1125	1287	1418	1579	1361	1116	2117	1998	665	1724
FBgn0039182	594	341	743	676	507	586	666	754	573	594	283	635
FBgn0039183	379	267	437	397	286	308	337	455	393	366	173	390
FBgn0039184	64	33	38	65	45	53	84	47	58	54	28	66
FBgn0011581	0	1	1	2	1	1	5	0	1	4	1	3
FBgn0039186	458	226	374	358	304	416	449	363	413	397	168	469
FBgn0039187	879	484	471	540	501	609	541	501	710	742	245	594
FBgn0039188	251	141	142	153	183	187	195	155	340	330	143	275
FBgn0039189	610	382	245	301	306	348	322	286	516	479	208	388
FBgn0039190	4	2	5	2	4	5	7	1	6	2	3	5
FBgn0053339	10	3	0	2	1	4	1	1	5	1	3	5
FBgn0053340	5	2	3	2	2	1	6	0	2	4	5	1
FBgn0039192	59	43	1	2	16	22	3	2	13	12	3	4
FBgn0039193	1	1	1	1	0	6	2	0	3	2	1	2
FBgn0261993	1	2	0	3	1	4	1	2	2	3	1	1
FBgn0261994	1	0	1	0	1	1	3	1	2	1	3	0
FBgn0053341	1	1	4	2	1	1	1	1	3	0	2	1
FBgn0039194	2	0	4	5	2	4	7	1	4	2	3	3
FBgn0039195	7	7	7	9	9	16	24	9	14	6	9	6
FBgn0039196	6	4	3	3	3	3	7	1	4	1	1	5
FBgn0086610	3	0	2	1	2	2	1	0	1	1	3	1
FBgn0039197	3	4	3	5	5	1	5	2	6	3	1	2
FBgn0039198	11	3	2	1	1	3	3	4	4	2	1	3
FBgn0039199	4	0	3	6	3	4	5	2	1	0	5	2
FBgn0039200	5	4	0	3	5	5	5	2	25	11	4	24
FBgn0000036	7	2	7	3	7	7	7	6	12	3	11	17
FBgn0051128	1	2	0	1	0	2	4	0	3	0	1	0
FBgn0000039	5	5	6	2	5	7	3	3	3	6	12	6
FBgn0004118	58	35	25	51	48	59	49	27	67	82	27	57
FBgn0039201	12	7	15	9	12	18	16	8	16	15	8	9
FBgn0003134	349	149	163	206	207	240	207	195	274	268	98	268
FBgn0039202	9	5	3	2	4	3	9	2	2	5	4	5
FBgn0039203	2	6	2	4	2	4	5	1	4	2	5	3
FBgn0039204	149	66	106	89	106	134	112	112	126	133	53	146
FBgn0039205	67	42	16	14	79	66	12	26	73	67	12	25
FBgn0262167	965	485	624	762	689	816	866	586	893	966	359	883
FBgn0039207	64	29	23	15	39	50	30	12	49	45	14	29
FBgn0266758	167	100	122	98	81	130	91	80	181	192	78	130
FBgn0039209	152	89	249	310	130	193	308	340	217	226	168	441
FBgn0039210	908	511	354	341	431	615	349	319	609	658	190	472
FBgn0263490	633	280	241	239	97	123	228	234	102	123	67	138
FBgn0039212	249	171	177	163	151	184	202	175	194	220	100	196
FBgn0039213	233	141	136	166	138	155	165	123	215	222	77	224
FBgn0046685	49	26	45	70	18	41	90	48	35	40	21	76
FBgn0262858	37	12	18	25	19	23	22	19	29	27	14	34
FBgn0039214	2052	1000	873	1027	1148	1170	1046	949	1638	1477	477	1308
FBgn0000139	622	352	255	191	546	577	202	351	549	517	127	304
FBgn0051125	136	71	127	107	87	105	114	120	136	164	84	202
FBgn0039215	3096	1756	1028	1335	1542	1622	1270	1330	2274	1996	778	1602
FBgn0051126	344	206	113	94	189	212	146	102	253	215	60	119
FBgn0020018	38	17	6	7	5	17	13	11	14	9	9	12
FBgn0003429	21	9	16	8	18	14	17	10	27	17	8	16
FBgn0284232	0	0	0	0	0	0	0	0	0	2	0	1
FBgn0039217	14	10	8	4	6	9	10	9	8	9	10	9
FBgn0039218	88	56	44	43	38	53	60	43	58	60	25	55
FBgn0039219	158	103	41	38	70	65	45	28	107	100	27	54
FBgn0004885	1398	647	33	63	75	88	90	39	206	188	29	47
FBgn0003719	4389	2058	73	260	164	193	261	89	813	830	171	344
FBgn0000140	3205	1449	809	1123	1424	1686	1175	948	2274	2318	657	1611
FBgn0015591	7	9	2	2	4	3	3	0	6	7	4	3
FBgn0040600	5	2	6	1	3	6	5	4	6	2	1	5
FBgn0259233	63	34	20	19	40	26	25	14	58	42	23	20
FBgn0039223	19	20	72	30	43	41	31	64	64	48	47	74
FBgn0039225	11	7	6	8	11	6	15	6	15	5	4	9
FBgn0039224	9	2	4	5	4	5	12	2	8	6	4	4
FBgn0039226	13	11	33	46	17	7	66	12	21	10	13	29
FBgn0039227	276	135	857	872	415	552	936	892	604	640	466	1350
FBgn0027539	172	87	283	325	156	164	308	323	156	165	128	363
FBgn0039228	4	3	3	2	1	3	2	1	2	4	8	4
FBgn0083986	28	19	31	34	12	14	46	34	28	20	37	46
FBgn0027617	633	429	219	259	376	459	252	269	508	596	197	272
FBgn0039229	1358	664	621	717	737	888	801	608	964	977	275	799
FBgn0045980	37	30	22	33	11	28	51	23	43	35	31	53
FBgn0051118	80	41	54	80	46	52	79	51	76	78	48	140
FBgn0051357	265	149	126	121	146	180	213	141	194	166	79	221
FBgn0262962	27	19	8	11	13	15	27	4	22	19	4	17
FBgn0039232	1	3	0	6	0	3	4	1	5	0	4	3
FBgn0053658	4	3	1	1	1	2	3	1	6	1	4	4
FBgn0013953	111	77	275	479	118	128	648	294	218	209	436	1064
FBgn0039233	429	241	287	300	249	320	351	278	357	382	139	282
FBgn0039234	1182	687	1037	718	760	805	715	1069	940	965	654	1043
FBgn0051119	4	4	3	2	3	2	3	3	10	6	3	4
FBgn0039235	3	1	2	4	1	0	6	1	5	3	3	8
FBgn0051105	7	3	4	3	5	8	8	2	12	3	0	12
FBgn0265266	1	3	3	2	2	0	1	3	5	2	3	3
FBgn0039237	3	3	4	2	1	3	2	3	2	11	2	4
FBgn0039238	9	7	12	14	4	6	14	9	5	6	5	7
FBgn0039239	21	6	14	8	8	9	18	5	12	14	12	25
FBgn0013949	5	7	6	5	1	6	10	4	3	5	3	3
FBgn0015625	1073	576	997	961	793	1003	1021	1193	1256	1290	683	1797
FBgn0039240	686	348	227	314	369	413	329	266	514	518	151	370
FBgn0039241	178	71	167	213	107	108	190	166	142	105	82	187
FBgn0043799	150	89	192	187	113	145	251	211	124	152	90	235
FBgn0051121	9	10	25	20	17	8	37	13	19	21	22	35
FBgn0039244	27	13	31	19	12	21	25	21	26	31	42	71
FBgn0040601	14	8	8	11	7	6	15	5	9	3	6	6
FBgn0039246	5	7	7	5	8	15	24	5	6	9	10	11
FBgn0265190	157	85	151	168	91	132	152	175	184	134	62	199
FBgn0265189	131	77	139	120	115	90	168	149	145	135	89	201
FBgn0039249	28	16	37	35	16	19	63	30	36	28	22	47
FBgn0039250	254	158	402	471	217	295	513	448	296	271	204	541
FBgn0039251	43	20	42	37	18	39	51	40	40	42	40	44
FBgn0039252	56	43	163	178	65	109	195	146	89	127	119	245
FBgn0020626	149	91	184	199	116	126	233	207	171	142	112	230
FBgn0029157	985	476	475	489	544	615	581	440	703	696	264	617
FBgn0039254	332	182	78	57	139	183	82	76	155	177	45	68
FBgn0285912	112	67	13	25	48	48	34	17	75	58	15	49
FBgn0039257	46	25	33	19	21	35	47	22	37	40	35	34
FBgn0039258	142	88	70	64	71	99	79	63	134	147	49	97
FBgn0039259	159	99	80	69	94	104	85	73	109	100	45	69
FBgn0015240	244	117	133	138	139	155	145	121	177	188	58	194
FBgn0039260	821	408	618	623	549	615	674	608	710	732	318	735
FBgn0039261	344	159	344	376	210	233	400	372	255	266	205	515
FBgn0051115	8	3	3	1	1	5	2	2	1	3	2	1
FBgn0045866	503	314	283	296	277	331	351	374	308	335	199	299
FBgn0259178	51	47	81	136	41	49	138	99	47	47	37	93
FBgn0039264	5	2	5	2	3	5	2	4	13	13	16	17
FBgn0039265	149	94	92	145	86	81	135	98	69	86	49	86
FBgn0039266	287	114	137	169	142	167	193	153	192	212	56	159
FBgn0051109	320	189	110	125	167	206	159	124	234	238	61	146
FBgn0051111	496	231	81	128	181	173	103	57	258	248	61	110
FBgn0266719	685	344	157	345	186	208	356	170	353	362	132	330
FBgn0039269	379	236	135	131	105	135	134	119	189	202	78	158
FBgn0039270	616	331	84	71	139	177	92	97	192	186	49	101
FBgn0011336	4757	2436	462	432	1432	1584	474	511	1680	1685	188	435
FBgn0039271	458	224	147	149	208	252	153	148	258	284	106	177
FBgn0039272	217	92	45	57	72	95	70	38	99	142	35	90
FBgn0039273	378	151	145	161	141	195	179	118	266	250	76	176
FBgn0039274	303	153	175	153	151	198	156	158	208	221	104	190
FBgn0004897	7	2	17	3	8	9	6	26	7	5	9	10
FBgn0004898	13	10	43	6	19	31	7	53	22	15	24	64
FBgn0053095	204	78	165	164	104	135	170	152	170	133	79	211
FBgn0053096	400	221	200	202	192	219	234	188	257	285	86	242
FBgn0266534	57	23	36	40	31	30	48	41	52	43	42	68
FBgn0054027	19	14	13	18	15	14	21	14	28	34	22	20
FBgn0039277	37	15	39	39	30	23	45	36	51	40	23	49
FBgn0051108	195	90	184	186	100	120	169	185	186	190	84	239
FBgn0051510	103	55	193	199	78	139	174	181	159	136	90	213
FBgn0046214	727	467	761	550	495	618	555	915	638	636	337	681
FBgn0039280	366	168	245	225	220	302	261	186	272	363	100	245
FBgn0260229	723	494	378	353	433	474	441	543	530	536	397	396
FBgn0259152	275	132	118	154	145	149	164	146	199	221	69	207
FBgn0039282	107	45	24	29	32	40	24	29	92	97	20	51
FBgn0039283	663	373	237	140	662	799	222	249	996	1026	99	249
FBgn0083946	51	22	13	6	41	53	21	13	64	79	20	18
FBgn0039286	1340	778	397	541	1122	1312	604	556	2163	2173	290	647
FBgn0039288	3823	2189	24	18	75	84	21	30	156	144	13	18
FBgn0022800	29	15	14	15	11	17	18	8	15	11	9	24
FBgn0039290	345	156	46	33	18	28	30	44	16	23	17	19
FBgn0039291	232	142	102	133	102	145	145	148	102	95	57	122
FBgn0051106	17	11	9	4	4	8	11	3	16	11	10	7
FBgn0051103	26	17	1	6	6	9	9	6	13	7	9	17
FBgn0039293	131	70	97	116	86	104	139	116	92	120	50	130
FBgn0039294	12	8	7	9	9	4	11	2	11	9	9	18
FBgn0039296	210	119	107	141	84	95	175	120	139	163	73	147
FBgn0039297	4	2	3	1	3	3	7	2	6	2	4	3
FBgn0039298	3	2	3	6	3	2	2	2	2	3	2	3
FBgn0039299	5	2	1	1	1	4	3	0	4	4	3	5
FBgn0000158	15	11	12	11	6	15	13	9	11	11	6	16
FBgn0039300	682	419	720	610	338	459	508	812	494	431	405	716
FBgn0039301	320	189	114	144	225	212	146	164	238	266	77	189
FBgn0039302	1359	646	866	1223	725	902	1246	989	1081	1126	642	1548
FBgn0039303	378	192	205	225	198	179	222	203	268	263	78	251
FBgn0039304	25	26	44	56	36	27	42	52	31	21	27	85
FBgn0039305	39	23	26	18	15	23	19	31	23	25	14	16
FBgn0027090	807	497	649	468	495	604	537	761	672	736	374	663
FBgn0039306	523	269	433	428	302	387	476	407	398	393	200	419
FBgn0039309	8	6	2	4	3	5	13	2	4	2	4	6
FBgn0039308	16	6	3	4	9	8	12	3	4	4	1	5
FBgn0039310	5	4	5	2	4	3	4	3	0	4	4	0
FBgn0039311	15	9	15	6	2	9	13	6	13	15	2	11
FBgn0039312	5	4	13	11	11	1	23	12	7	3	8	5
FBgn0039313	9	3	5	3	3	9	9	0	3	6	3	3
FBgn0051300	4	8	9	6	5	8	6	5	4	5	2	5
FBgn0051104	3	1	7	2	2	2	6	1	7	3	2	6
FBgn0039315	15	2	2	3	1	3	6	4	6	2	6	6
FBgn0039316	7	2	8	3	2	5	7	5	7	0	6	3
FBgn0051098	19	10	49	115	17	18	161	72	7	3	6	5
FBgn0051102	11	10	6	44	5	10	62	10	3	4	8	8
FBgn0051097	20	8	9	8	5	8	21	8	9	10	7	12
FBgn0051288	5	1	4	3	3	3	5	2	4	2	8	3
FBgn0039319	8	6	7	10	4	7	8	6	10	3	6	6
FBgn0051370	2	2	5	3	3	2	3	1	3	2	7	6
FBgn0051436	4	4	7	3	2	6	3	4	3	7	5	7
FBgn0039321	12	5	50	25	19	39	25	57	10	7	7	17
FBgn0051099	22	23	23	12	14	35	46	24	12	24	25	21
FBgn0051087	3	5	3	5	4	4	6	4	5	5	5	7
FBgn0039323	28	11	2	11	5	4	7	1	13	16	5	8
FBgn0039324	32	17	7	3	6	9	6	3	14	18	4	1
FBgn0039325	4	4	7	11	4	4	13	2	8	3	3	5
FBgn0039326	4	0	6	3	0	0	10	1	3	2	4	8
FBgn0045761	11	2	6	5	8	13	24	7	12	2	10	17
FBgn0039328	19	11	8	16	14	21	32	9	23	8	13	37
FBgn0039329	397	227	155	197	298	253	205	202	306	337	93	226
FBgn0028647	263	129	159	208	141	164	189	174	236	202	94	259
FBgn0027376	46	25	31	38	21	40	54	29	43	47	35	47
FBgn0261575	23	17	69	108	53	36	109	75	44	42	57	113
FBgn0004509	70	37	181	240	92	131	275	199	144	118	138	328
FBgn0039331	11	8	5	5	3	6	10	3	5	7	7	9
FBgn0039332	28	8	65	84	33	48	70	46	30	34	34	93
FBgn0051437	10	8	6	9	2	4	3	6	4	4	1	3
FBgn0051439	75	55	131	140	109	100	203	132	107	119	102	187
FBgn0039335	148	82	97	123	76	82	155	104	98	103	78	160
FBgn0039336	147	86	56	51	54	80	78	53	106	84	52	60
FBgn0039337	205	100	55	46	101	126	52	46	131	119	32	70
FBgn0039338	1887	868	729	953	935	1248	1053	839	1459	1385	498	1373
FBgn0259991	359	193	29	36	92	127	42	33	150	175	29	37
FBgn0039339	395	208	63	93	155	157	122	67	218	250	43	103
FBgn0040212	315	151	147	138	152	179	144	196	214	177	85	240
FBgn0039341	76	41	20	26	29	25	29	25	33	45	7	29
FBgn0053494	8	1	4	7	6	4	9	2	10	4	5	20
FBgn0039342	1	0	0	2	2	4	4	0	2	0	0	3
FBgn0039343	252	160	24	51	44	60	39	23	91	101	11	11
FBgn0011666	1363	679	385	335	462	601	492	432	1095	1058	348	808
FBgn0039344	6	5	8	7	4	2	11	10	8	2	7	16
FBgn0261287	100	62	20	31	25	30	37	9	50	48	14	30
FBgn0039348	288	175	350	329	214	218	262	378	245	213	164	428
FBgn0039346	4	4	4	5	1	3	4	3	3	5	3	5
FBgn0039347	25	10	10	16	8	15	15	5	19	13	10	27
FBgn0039349	433	243	197	178	235	310	212	185	395	351	109	290
FBgn0039350	1795	870	415	728	494	668	818	457	1459	1451	448	1138
FBgn0027508	352	229	215	350	177	209	363	230	246	264	153	379
FBgn0261986	243	117	117	187	79	88	202	122	138	162	63	140
FBgn0039354	8	8	6	7	9	6	9	4	15	13	3	8
FBgn0039355	107	47	65	66	83	99	74	97	147	150	62	144
FBgn0039356	82	62	8	48	8	8	59	9	5	6	3	3
FBgn0039357	206	112	64	82	82	97	71	52	107	120	13	68
FBgn0039358	134	69	86	96	97	94	117	81	83	96	47	104
FBgn0039359	102	58	129	154	78	97	145	134	62	73	45	122
FBgn0039360	89	52	102	124	45	67	125	107	71	93	54	125
FBgn0051092	27	13	32	15	45	47	17	36	16	13	21	18
FBgn0066101	14	11	17	11	11	17	17	10	20	13	16	14
FBgn0039366	3	0	5	1	7	0	4	0	2	1	3	0
FBgn0039367	4	2	2	0	1	5	1	3	2	3	3	4
FBgn0039368	2	0	1	0	2	1	2	0	0	1	1	3
FBgn0039369	3	1	2	1	3	4	0	2	2	3	1	4
FBgn0039370	1	0	3	2	1	2	1	0	0	0	2	2
FBgn0039371	4	1	3	3	2	0	5	1	4	0	2	3
FBgn0051380	3	3	4	1	1	4	7	6	7	1	5	1
FBgn0051093	1	0	0	1	2	3	0	0	1	1	2	4
FBgn0250831	1	1	0	0	0	1	3	0	1	1	0	1
FBgn0039373	4	4	1	0	0	1	3	1	3	4	1	2
FBgn0011273	2	4	2	2	1	3	0	1	3	0	3	2
FBgn0039374	0	1	1	0	0	2	0	0	0	1	1	0
FBgn0039376	2	0	2	1	3	5	4	1	5	4	2	3
FBgn0011670	0	1	0	1	0	1	0	0	1	0	1	1
FBgn0261061	0	0	1	0	0	0	0	0	0	0	0	2
FBgn0011669	0	0	0	0	0	1	0	1	0	0	1	0
FBgn0011668	1	0	0	1	0	0	0	0	0	1	1	1
FBgn0039378	15	2	10	41	2	5	34	0	4	6	5	10
FBgn0040602	8	2	15	8	4	6	10	8	9	7	5	18
FBgn0039379	209	95	190	135	126	158	190	198	175	159	93	228
FBgn0039380	4	1	1	1	3	2	7	2	3	2	1	13
FBgn0027865	184	103	87	94	73	96	107	94	125	122	58	164
FBgn0039381	83	36	90	112	48	47	94	78	71	74	63	106
FBgn0028717	775	344	215	339	338	415	360	277	562	563	155	396
FBgn0039385	115	62	141	224	62	120	176	176	135	149	121	264
FBgn0039386	5	4	12	32	10	11	18	10	15	15	15	33
FBgn0039387	26	14	32	39	13	15	31	23	32	30	23	60
FBgn0051091	6	4	5	6	5	4	6	3	6	9	4	13
FBgn0051089	5	4	3	2	3	4	6	0	4	6	11	5
FBgn0250757	28	12	12	22	17	16	33	11	22	17	23	28
FBgn0039395	2	4	5	5	4	5	5	1	5	1	3	3
FBgn0039396	12	10	4	5	5	11	3	1	12	7	2	2
FBgn0039398	9	9	11	7	12	2	9	4	6	7	4	7
FBgn0000206	10	4	8	7	6	14	11	4	15	19	17	25
FBgn0259146	26	16	10	6	16	12	31	13	14	10	11	22
FBgn0015269	1183	561	499	709	687	810	733	564	1022	1133	340	746
FBgn0262576	24	17	84	28	27	38	57	76	38	36	50	93
FBgn0002734	54	40	257	169	70	98	227	295	208	169	365	1030
FBgn0002735	98	71	1465	952	292	515	1180	1663	911	846	1768	4791
FBgn0002733	56	36	489	186	120	191	242	537	292	222	701	1593
FBgn0002732	341	200	1238	897	484	681	1255	1402	736	717	1396	3167
FBgn0002578	1	5	22	10	8	20	14	16	14	16	12	28
FBgn0002592	61	51	301	98	83	126	192	357	168	192	460	1142
FBgn0002609	9	6	137	43	32	59	51	125	45	32	99	234
FBgn0002629	935	620	1958	2045	1495	1939	2429	2070	1954	1874	2230	5184
FBgn0002631	412	259	1144	562	617	853	836	1110	875	828	1590	3189
FBgn0002632	1	0	11	1	4	8	3	7	3	2	7	8
FBgn0002633	192	124	1071	368	501	772	515	1165	624	616	984	2745
FBgn0000591	259	175	747	326	351	521	568	759	539	502	1022	2059
FBgn0001139	980	477	433	521	480	592	531	518	808	743	256	680
FBgn0266668	87	57	109	78	50	65	107	111	74	84	67	100
FBgn0039402	138	59	71	63	74	75	78	72	66	95	27	69
FBgn0028833	710	445	351	373	410	444	342	434	447	494	193	400
FBgn0039403	53	48	42	55	60	55	59	48	60	68	46	95
FBgn0039404	228	143	164	150	145	153	203	213	154	189	98	161
FBgn0260224	28	23	28	29	20	38	31	37	29	40	22	48
FBgn0039405	22	10	24	20	7	17	21	15	15	14	7	24
FBgn0039406	79	44	66	69	54	45	75	78	58	49	35	108
FBgn0039407	137	71	74	84	87	105	111	101	111	118	59	90
FBgn0039408	4	1	5	1	1	2	7	5	2	1	5	6
FBgn0039411	17	6	7	10	6	11	16	3	15	5	11	14
FBgn0051324	4	4	2	3	2	2	9	1	3	4	1	1
FBgn0039413	6	1	11	3	2	3	10	3	8	4	6	8
FBgn0039415	14	7	7	4	6	9	7	1	7	5	5	7
FBgn0051323	1	0	2	2	0	2	3	1	3	4	3	1
FBgn0051086	7	1	4	1	1	6	2	1	3	2	1	4
FBgn0039417	74	48	73	129	31	45	128	86	50	60	46	97
FBgn0083966	6	2	4	6	3	4	8	1	5	8	6	6
FBgn0083965	3	0	3	2	3	5	3	2	1	3	3	4
FBgn0039419	14	16	51	16	25	30	17	39	24	17	15	40
FBgn0000064	16	6	55	27	74	85	33	46	19	18	20	45
FBgn0039420	7	5	8	3	5	9	9	8	10	7	3	1
FBgn0053970	15	5	15	8	16	15	29	10	22	11	17	8
FBgn0039421	2	2	6	3	1	3	2	1	7	1	0	4
FBgn0039424	5	1	3	5	3	4	9	2	7	3	4	5
FBgn0039425	4	1	5	4	2	4	6	8	1	4	5	4
FBgn0040606	1	0	4	0	0	0	4	4	2	3	0	0
FBgn0085320	1	0	0	2	0	1	1	2	0	0	0	1
FBgn0263118	8	9	8	2	5	12	7	4	4	8	4	8
FBgn0042711	7	4	11	4	6	9	9	12	6	5	4	5
FBgn0042710	11	3	16	3	4	15	11	9	14	7	8	7
FBgn0039427	67	36	80	82	53	66	119	100	73	60	47	110
FBgn0262577	24	11	32	42	11	21	35	26	31	28	17	44
FBgn0023178	0	0	0	0	1	3	1	1	2	0	2	4
FBgn0039428	3	1	7	7	5	1	4	2	4	4	3	6
FBgn0039429	6	10	2	7	3	6	14	2	6	7	6	12
FBgn0039430	10	7	17	6	7	5	9	7	10	4	11	7
FBgn0039431	18	12	17	21	12	18	30	12	27	21	19	23
FBgn0263289	661	321	610	864	541	620	873	620	731	714	387	1070
FBgn0039434	2	3	5	4	3	6	5	4	6	3	6	9
FBgn0039435	2	1	2	0	2	2	6	4	2	3	2	3
FBgn0039436	7	0	3	3	4	8	5	7	6	2	4	10
FBgn0039437	3	4	2	7	2	1	3	4	2	4	6	5
FBgn0039438	8	2	4	3	1	5	6	5	10	4	3	4
FBgn0039439	3	3	5	0	3	0	5	7	1	1	2	2
FBgn0039440	7	4	4	3	1	4	4	4	3	7	2	1
FBgn0039441	4	4	2	6	4	8	6	2	4	7	4	13
FBgn0051080	3	4	4	4	1	1	2	2	4	1	3	3
FBgn0051081	2	1	5	3	5	5	11	2	1	3	3	3
FBgn0039443	3	2	2	4	1	3	2	0	1	2	1	1
FBgn0039444	3	8	3	3	1	3	3	2	4	5	7	13
FBgn0250908	9	5	9	8	5	10	7	3	4	4	9	9
FBgn0243586	3	5	0	2	1	2	6	0	3	0	3	4
FBgn0039448	3	1	0	4	1	0	1	1	7	3	3	3
FBgn0023179	12	9	5	5	12	10	11	6	13	11	6	10
FBgn0039449	211	130	133	146	145	178	179	158	226	237	97	216
FBgn0039450	135	85	277	261	120	176	318	323	164	152	143	336
FBgn0039451	80	53	155	124	49	65	176	131	102	64	84	177
FBgn0040607	2	0	1	0	3	0	1	0	5	1	2	7
FBgn0040608	4	4	6	2	3	7	9	1	7	6	5	2
FBgn0039452	2	1	0	1	1	1	0	0	1	2	0	3
FBgn0039453	1	1	2	2	0	1	0	0	0	0	1	5
FBgn0039454	0	1	1	1	5	2	4	0	4	5	2	2
FBgn0262473	83	61	644	698	200	242	721	728	91	73	96	213
FBgn0051072	18	23	26	28	16	27	34	21	29	37	20	36
FBgn0039459	63	43	45	32	59	77	54	49	103	119	43	69
FBgn0027889	588	284	370	330	447	463	365	400	502	581	231	518
FBgn0001197	270	141	278	283	173	202	331	343	225	252	185	422
FBgn0026562	37	24	30	22	27	38	43	26	54	45	18	40
FBgn0004903	430	229	271	239	269	352	350	265	394	433	129	314
FBgn0002838	188	122	66	76	89	92	116	84	118	156	43	123
FBgn0039461	25	12	8	20	8	14	14	9	22	15	5	19
FBgn0003267	8	6	11	9	9	8	11	8	8	21	11	12
FBgn0004359	36	21	66	65	121	103	68	78	108	135	24	101
FBgn0004510	166	95	263	275	74	102	289	243	187	186	105	328
FBgn0285963	32	7	19	26	15	8	30	14	22	10	24	34
FBgn0039462	441	200	150	175	259	264	196	184	273	366	93	217
FBgn0039463	6	6	7	7	3	9	4	2	8	9	4	3
FBgn0039464	18	15	98	67	28	29	94	70	33	38	68	150
FBgn0039465	117	62	101	109	87	105	137	111	132	136	65	145
FBgn0041224	7	6	7	7	2	5	4	5	8	7	4	5
FBgn0039466	199	100	360	377	268	275	434	384	405	370	238	602
FBgn0284229	4	3	6	17	3	1	5	8	4	3	2	18
FBgn0039467	13	5	9	13	5	3	16	9	16	13	6	14
FBgn0051075	8	2	5	10	4	6	15	4	7	4	6	6
FBgn0051076	5	1	2	2	1	3	2	3	7	0	1	2
FBgn0039469	2	0	0	1	1	1	5	3	5	4	4	2
FBgn0004842	28	22	38	32	19	14	124	21	29	23	31	55
FBgn0051077	19	12	12	12	10	18	31	6	19	10	10	17
FBgn0039470	11	6	5	4	2	2	9	4	4	2	9	1
FBgn0039471	3	1	3	0	1	6	5	3	3	2	8	3
FBgn0039472	3	1	2	3	3	1	4	2	0	5	1	4
FBgn0039473	6	6	4	11	5	5	8	2	1	8	4	3
FBgn0039474	10	4	3	4	8	4	5	2	3	5	7	3
FBgn0039475	3	1	6	4	4	3	5	3	4	1	11	5
FBgn0039476	2	3	1	3	3	1	3	1	4	2	3	4
FBgn0029170	9	3	6	2	6	6	9	1	11	2	3	8
FBgn0039478	14	8	11	8	7	4	12	4	6	6	9	12
FBgn0085321	0	2	7	0	4	0	2	5	0	1	3	0
FBgn0003495	4	2	6	2	4	6	4	4	3	4	3	5
FBgn0264563	0	0	0	0	2	2	2	0	0	1	0	3
FBgn0039479	8	8	16	3	9	5	16	12	8	10	5	8
FBgn0039480	2	2	1	4	5	4	5	0	8	4	4	1
FBgn0039481	6	3	2	6	1	2	2	5	7	0	5	4
FBgn0039482	1	0	2	2	1	1	1	1	4	2	3	4
FBgn0039483	2	1	2	5	1	3	7	1	5	2	0	3
FBgn0243514	11	8	9	9	6	8	16	11	14	16	6	15
FBgn0039485	1	3	2	2	0	2	1	2	0	0	0	1
FBgn0039486	3	1	3	3	3	2	8	1	7	1	2	3
FBgn0039487	211	97	200	164	158	227	212	184	198	229	127	254
FBgn0027574	713	377	564	389	519	620	436	610	538	505	264	547
FBgn0039488	756	416	163	151	278	346	174	152	296	289	84	173
FBgn0039489	4	5	1	5	4	3	9	4	5	4	7	1
FBgn0039490	11	7	10	9	13	10	13	6	23	9	10	20
FBgn0039491	46	18	66	71	47	69	105	86	55	43	53	102
FBgn0039492	182	114	228	311	135	180	323	273	166	168	136	379
FBgn0029155	10	8	12	6	15	14	14	7	11	7	3	10
FBgn0039494	11	7	18	8	6	12	4	14	10	9	7	6
FBgn0039495	5	4	2	3	2	6	9	5	3	5	6	5
FBgn0051065	10	2	10	7	4	8	13	5	7	6	5	4
FBgn0085322	42	28	11	16	25	26	11	14	27	22	16	10
FBgn0003482	38	18	11	12	16	21	20	10	36	39	9	13
FBgn0004197	48	34	134	24	51	73	67	138	53	35	44	70
FBgn0261995	52	27	13	27	22	40	34	14	39	44	16	24
FBgn0261996	118	49	18	31	43	49	31	23	74	68	12	29
FBgn0051064	501	228	101	132	227	281	134	107	362	366	87	202
FBgn0051068	13	11	4	6	5	7	12	5	13	7	6	4
FBgn0005696	763	429	208	264	493	575	325	255	630	640	202	459
FBgn0039498	184	115	54	81	114	130	99	51	228	183	51	121
FBgn0042111	222	94	127	129	111	123	137	107	130	174	55	143
FBgn0039500	21	14	3	14	9	11	15	5	23	15	4	13
FBgn0039501	246	125	77	157	78	92	169	108	230	210	90	188
FBgn0011289	560	256	199	254	318	369	234	223	446	419	139	278
FBgn0010441	400	203	155	189	126	138	266	155	249	288	103	198
FBgn0010328	2448	1223	1229	1638	1114	1368	1667	1306	1930	1749	719	1903
FBgn0039503	30	9	6	3	14	16	16	5	20	16	3	7
