Toll10b_2	Toll9_2	Toll10b_1	Gd7_2	Gd7_1	Toll9_1
Region1304	498	1180	187	867	1732	535
Region1305	977	2245	443	1072	1977	1138
Region1306	607	1962	133	600	1148	877
Region1307	381	1042	107	357	852	492
Region1308	459	1189	85	542	1154	485
Region1309	279	1182	84	418	707	469
Region1310	304	792	108	377	752	333
Region1311	475	1714	160	608	1335	769
Region1312	877	2433	197	736	1681	1071
Region1313	415	1257	67	348	999	582
Region1314	361	1339	131	347	817	576
Region1315	663	2417	205	910	2027	1071
Region1316	577	2162	160	3016	5100	1173
Region1317	171	575	56	828	1626	309
Region1318	232	746	81	309	569	321
Region1319	227	1000	80	816	1687	535
Region1320	92	606	45	590	1500	344
Region1321	279	952	59	304	696	435
Region1322	720	1636	557	911	2407	724
Region1323	1162	2499	593	1689	2919	1203
Region1324	237	267	72	570	950	141
Region1325	910	2666	353	983	2451	1164
Region1326	754	1709	152	833	1921	754
Region1327	397	913	126	510	910	407
Region1328	509	1466	178	664	1521	655
Region1329	1304	3627	391	1207	2259	1367
Region1330	365	768	65	261	666	343
Region1331	281	918	66	398	699	395
Region1332	1269	3836	430	1282	2234	1728
Region1333	91	474	17	80	268	239
Region1334	123	512	40	130	368	264
Region1335	110	518	34	156	266	235
Region1336	215	583	59	240	520	303
Region1337	104	530	27	112	275	208
Region1338	687	2139	229	671	1538	888
Region1339	1186	3502	288	1173	2441	1411
Region1340	615	1768	178	678	1221	793
Region1341	300	558	128	307	681	257
Region1342	486	1195	141	386	1117	585
Region1343	237	712	87	288	627	333
Region1344	396	1401	116	450	1086	614
Region1345	765	2480	171	863	1571	1017
Region1346	184	39	78	30	46	32
Region1347	324	91	189	81	86	40
Region1348	644	163	365	152	102	77
Region1349	3839	4136	1200	2386	4995	1728
Region1350	308	951	80	372	649	428
Region1351	470	1007	134	534	913	497
Region1352	1036	2691	377	1308	2113	1191
Region1353	702	2029	170	569	1488	814
Region1354	681	1664	196	661	1198	746
Region1355	177	629	45	211	335	290
Region1356	2748	7859	977	2661	7232	3350
Region1357	260	773	74	324	533	363
Region1358	292	1005	52	418	720	451
Region1359	446	1182	96	576	941	495
Region1360	198	771	50	236	444	322
Region1361	253	847	77	423	998	356
Region1362	117	494	29	633	1610	208
Region1363	57	270	39	447	921	135
Region1364	69	178	20	300	1086	97
Region1365	414	1257	118	523	1380	532
Region1366	637	1958	275	736	1625	869
Region1367	575	1137	210	538	1475	502
Region1368	808	3338	287	1370	2895	1366
Region1369	147	496	77	275	703	304
Region1370	276	993	38	454	660	460
Region1371	1223	2744	262	1132	2709	1066
Region1372	322	1224	71	370	692	534
Region1373	414	960	134	416	545	384
Region1374	1146	1042	291	1072	2894	532
Region1375	564	431	157	663	1880	262
Region1376	1036	780	269	875	2321	432
Region1377	687	2849	245	764	2187	1274
Region1378	124	556	26	246	269	236
Region1379	271	656	80	336	670	287
Region1380	3094	8484	878	3612	7258	3305
Region1381	936	3073	271	1037	2242	1255
Region1382	11333	22842	3290	9969	20558	10027
Region1383	229	846	67	352	417	322
Region1384	744	1608	164	990	1232	736
Region1385	2536	4425	985	1956	5400	2169
Region1386	6811	7928	2798	5307	13593	3898
Region1387	1677	3167	720	1373	4034	1537
Region1388	181	450	102	280	509	272
Region1389	1905	4460	632	1875	4952	1951
Region1390	194	379	82	221	551	178
Region1391	258	469	69	511	1193	181
Region1392	4030	4316	1618	5571	13252	1931
Region1393	1035	2759	424	1878	4368	1264
Region1394	99	515	49	347	668	260
Region1395	277	1097	88	283	653	446
Region1396	205	788	52	198	441	372
Region1397	531	1588	155	455	1159	724
Region1398	253	924	65	281	465	404
Region1399	1421	2679	516	1581	4475	1370
Region1400	2828	5812	821	2057	4908	2523
Region1401	1323	3151	369	1294	3326	1452
Region1402	574	1563	146	590	1422	735
Region1403	745	2086	236	987	1874	882
Region1404	1221	2226	260	959	2147	991
Region1405	349	958	69	271	507	417
Region1406	790	2305	289	500	918	944
Region1407	1739	3818	719	1825	3696	1766
Region1408	661	1106	176	590	1392	553
Region1409	268	736	140	357	511	407
Region1410	498	1527	131	523	1027	597
Region1411	396	1153	84	376	975	495
Region1412	803	2447	248	574	1138	955
Region1413	628	2135	160	765	1408	932
Region1414	761	2197	240	895	1748	1014
Region1415	397	1267	84	630	995	501
Region1416	541	1539	148	657	1113	684
Region1417	108	697	57	316	725	372
Region1418	549	2049	141	387	1028	810
Region1419	76	181	19	374	838	101
Region1420	382	696	149	563	1067	400
Region1421	919	963	333	1202	2634	574
Region1422	248	1305	81	402	959	555
Region1423	109	555	39	242	437	325
Region1424	204	1591	59	574	780	792
Region1425	570	1875	141	887	1485	881
Region1426	821	2154	180	927	1760	992
Region1427	609	1824	193	525	1092	808
Region1428	1097	2840	330	1524	3219	1280
Region1429	353	1211	107	392	852	574
Region1430	942	2169	239	1660	3416	1008
Region1431	121	425	35	215	335	249
Region1432	679	1835	192	780	1452	774
Region1433	369	1064	100	480	868	490
Region1434	223	221	77	155	157	96
Region1435	326	575	172	250	448	294
Region1436	450	1258	128	547	796	549
Region1437	188	366	146	154	236	192
Region1438	247	288	121	85	241	127
Region1439	4758	10862	1505	4678	10838	4410
Region1440	513	1181	114	778	1056	473
Region1441	244	649	54	210	388	262
Region1442	792	2875	243	906	2390	1268
Region1443	253	731	85	322	551	305
Region1444	357	2428	146	1015	1917	1094
Region1445	134	647	39	274	663	346
Region1446	201	604	59	318	535	305
Region1447	214	582	80	317	752	284
Region1448	437	879	196	587	1208	439
Region1449	1095	2938	313	1148	2862	1368
Region1450	318	890	68	338	666	436
Region1451	4814	4741	1673	3040	6980	2445
Region1452	213	143	82	159	327	75
Region1453	229	505	161	236	615	278
Region1454	159	590	68	307	591	278
Region1455	616	2017	180	663	1926	950
Region1456	121	522	46	175	388	278
Region1457	278	1005	72	272	806	436
Region1458	162	773	54	225	640	422
Region1459	446	4287	95	516	876	2100
Region1460	228	1857	97	343	611	998
Region1461	98	824	22	184	432	405
Region1462	365	1264	71	313	769	510
Region1463	1736	4564	407	1210	3705	1989
Region1464	172	649	83	249	511	379
Region1465	236	718	68	248	572	313
Region1466	340	522	118	504	779	282
Region1467	2328	4221	1064	2114	5106	1946
Region1468	451	1218	121	550	1201	518
Region1469	285	864	77	261	428	429
Region1470	540	1026	110	434	1360	418
Region1471	957	2144	288	865	1796	931
Region1472	1160	3198	555	1147	2060	1564
Region1473	2981	6655	991	1872	4234	2827
Region1474	474	1497	124	543	1034	566
Region1475	176	545	68	175	369	253
Region1476	1303	2965	347	1062	2177	1278
Region1477	345	807	96	309	636	315
Region1478	362	935	112	305	741	405
Region1479	679	2737	177	720	2087	1062
Region1480	1389	3027	363	1151	2762	1156
Region1481	869	2173	305	947	1978	917
Region1482	154	490	41	117	262	217
Region1483	2268	3686	805	2653	7472	1710
Region1484	998	1684	313	960	2359	724
Region1485	973	1852	265	911	1810	782
Region1486	2393	4000	576	2173	5188	1714
Region1487	201	493	64	242	390	226
Region1488	473	1321	135	404	831	572
Region1489	1643	2795	552	2456	4195	1138
Region1490	235	702	78	413	791	273
Region1491	306	519	59	490	780	177
Region1492	1576	3667	366	1638	3327	1520
Region1493	241	563	88	316	507	222
Region1494	144	847	50	238	545	368
Region1495	143	699	31	328	491	323
Region1496	216	880	44	298	472	392
Region1497	324	1088	87	421	872	482
Region1498	334	813	116	350	1181	326
Region1499	636	1671	144	426	1190	740
Region1500	458	1537	132	700	1116	692
Region1501	310	1181	87	493	816	510
Region1502	359	1040	100	255	570	412
Region1503	1181	2957	317	1259	2521	1275
Region1504	465	1428	155	543	967	688
Region1505	186	582	31	372	629	264
Region1506	552	10736	376	8022	13740	4872
Region1507	219	2299	112	1537	2282	1133
Region1508	193	2005	125	1404	2375	968
Region1509	342	1374	111	459	966	609
Region1510	300	886	103	227	503	423
Region1511	499	1850	165	685	1408	850
Region1512	466	1096	109	408	1027	415
Region1513	238	681	45	313	514	317
Region1514	773	3141	157	966	1603	1234
Region1515	1385	4588	381	3278	6922	2286
Region1516	123	502	63	127	382	266
Region1517	956	2488	228	897	2046	985
Region1518	265	912	81	318	696	385
Region1519	341	1382	140	331	981	706
Region1520	496	1562	176	745	1792	685
Region1521	472	1887	142	357	1153	793
Region1522	312	1158	65	374	628	514
Region1523	1619	3214	512	1526	2906	1230
Region1524	189	841	45	357	694	374
Region1525	482	1346	119	376	797	569
Region1526	381	2813	140	880	1404	1388
Region1527	475	3828	195	1004	1693	1795
Region1528	255	2142	107	391	588	1032
Region1529	770	1792	134	652	1822	774
Region1530	696	1912	221	669	1350	861
Region1531	423	1013	107	347	721	513
Region1532	588	1492	185	812	2292	651
Region1533	330	762	92	323	754	363
Region1534	1230	3104	385	1110	2781	1374
Region1535	416	1153	102	411	938	493
Region1536	417	1448	96	390	846	668
Region1537	419	360	137	165	279	183
Region1538	641	369	130	119	228	214
Region1539	400	549	133	344	648	315
Region1540	476	654	137	549	817	313
Region1541	422	619	161	438	735	326
Region1542	474	1287	226	546	1448	706
Region1543	438	587	144	464	1069	352
Region1544	1536	3656	536	1359	2726	1533
Region1545	183	542	55	214	519	259
Region1546	244	742	47	337	535	316
Region1547	386	849	103	431	856	365
Region1548	218	449	77	184	500	199
Region1549	248	652	80	275	753	294
Region1550	106	506	47	178	224	239
Region1551	129	534	106	211	322	324
Region1552	243	1340	113	316	619	674
Region1553	317	1968	187	686	1206	1089
Region1554	278	1679	115	302	371	741
Region1555	353	2817	172	429	879	1394
Region1556	270	775	59	238	376	333
Region1557	477	1707	138	494	919	739
Region1558	378	1068	105	338	910	527
Region1559	661	2133	157	670	1360	957
Region1560	2663	9023	1030	3826	6799	4191
Region1561	617	1426	163	736	1344	594
Region1562	208	686	54	272	522	388
Region1563	432	1361	102	677	1006	595
Region1564	250	772	73	368	716	322
Region1565	138	777	57	274	563	300
Region1566	359	128	158	203	367	82
Region1567	521	146	256	118	144	78
Region1568	67	700	13	98	136	346
Region1569	305	1050	110	397	1023	476
Region1570	259	1265	94	474	796	578
Region1571	527	2055	240	550	1475	1005
Region1572	520	1103	256	664	1179	481
Region1573	1165	3254	435	1773	4044	1419
Region1574	1671	3802	316	1486	2473	1620
Region1575	212	124	106	56	79	49
Region1576	1664	5113	553	2148	3959	2346
Region1577	1898	4483	636	1776	3869	1853
Region1578	677	1162	300	278	677	552
Region1579	529	1574	253	658	1101	671
Region1580	2062	3934	719	1887	3388	1986
Region1581	2615	5929	916	2647	4986	2765
Region1582	278	302	100	383	875	134
Region1583	1028	2467	231	1271	3058	1106
Region1584	125	544	100	117	183	271
Region1585	2310	5909	500	2012	4889	2460
Region1586	218	1042	50	302	535	448
Region1587	302	1303	133	379	632	541
Region1588	463	1525	105	605	972	550
Region1589	814	2891	178	1024	2249	1271
Region1590	105	474	36	177	637	260
Region1591	98	549	44	277	726	276
Region1592	342	1456	188	606	1403	736
Region1593	988	2688	393	1082	2287	1285
Region1594	712	2187	244	986	2167	1019
Region1595	539	1448	182	712	1299	680
Region1596	609	1530	151	605	1186	624
Region1597	548	1089	175	381	1131	477
Region1598	952	3169	240	744	1324	1313
Region1599	308	1030	87	371	972	481
Region1600	889	2323	390	1017	2670	1116
Region1601	510	1526	243	479	1391	771
Region1602	1428	3416	375	1244	2838	1443
Region1603	593	2026	119	592	1200	849
Region1604	686	1937	159	610	1405	828
Region1605	204	465	53	314	641	204
Region1606	253	694	112	370	790	317
Region1607	3267	8005	1194	3218	7299	3265
Region1608	1059	2753	308	1072	2548	1026
Region1609	250	756	55	253	411	305
Region1610	1171	3173	244	947	2027	1273
Region1611	1078	2282	311	1001	1880	917
Region1612	1199	3699	347	1000	2196	1680
Region1613	185	1081	80	246	511	452
Region1614	128	705	74	135	264	390
Region1615	189	793	103	211	295	405
Region1616	71	436	48	122	157	214
Region1617	258	958	54	388	761	422
Region1618	347	1200	74	566	811	554
Region1619	421	1273	124	512	885	487
Region1620	566	2080	162	693	1324	877
Region1621	2082	6996	1090	2836	4775	3559
Region1622	223	683	142	359	477	323
Region1623	1041	2777	314	786	1780	1368
Region1624	325	483	82	229	623	240
Region1625	445	1216	114	606	1133	483
Region1626	868	2909	250	700	2006	1265
Region1627	196	960	64	215	482	435
Region1628	740	2058	196	810	1700	876
Region1629	532	1160	169	485	1148	527
Region1630	665	2137	216	627	1379	856
Region1631	3443	7198	877	2766	6771	3100
Region1632	455	1217	113	487	983	551
Region1633	537	1237	138	559	917	544
Region1634	556	1308	132	569	1388	578
Region1635	357	882	72	365	707	443
Region1636	393	1375	102	416	959	574
Region1637	2424	4876	596	2196	4417	2020
Region1638	144	530	67	167	340	279
Region1639	251	941	78	270	513	427
Region1640	167	708	57	318	512	319
Region1641	314	1054	54	419	608	430
Region1642	126	787	35	205	430	309
Region1643	402	1484	102	486	894	626
Region1644	1420	4331	373	1066	3335	1912
Region1645	397	1222	64	337	791	617
Region1646	1587	4285	583	1455	4149	1921
Region1647	450	286	134	287	288	104
Region1648	558	2893	243	1857	4361	1368
Region1649	2192	6277	853	1999	5747	3081
Region1650	244	416	66	204	443	231
Region1651	826	2026	198	789	1722	936
Region1652	107	504	44	664	769	238
Region1653	559	1401	235	1105	2339	703
Region1654	4472	13738	2266	9918	18874	6004
Region1655	451	1270	136	423	1160	577
Region1656	391	1215	114	322	1013	539
Region1657	111	567	38	124	374	294
Region1658	1186	3124	313	1591	3131	1275
Region1659	412	1009	75	560	911	463
Region1660	332	1095	111	398	854	522
Region1661	203	438	96	156	517	202
Region1662	293	805	79	345	686	362
Region1663	378	1268	101	445	913	575
Region1664	197	579	63	239	474	285
Region1665	338	1140	104	378	671	472
Region1666	170	571	74	286	446	270
Region1667	200	527	95	323	437	322
Region1668	521	852	253	538	1068	480
Region1669	252	390	110	181	261	183
Region1670	138	812	58	432	714	420
Region1671	617	1494	155	502	994	760
Region1672	235	528	95	300	389	313
Region1673	2932	7481	1005	2568	5213	3316
Region1674	287	686	50	396	1024	304
Region1675	244	774	87	353	706	390
Region1676	542	1628	234	678	1591	818
Region1677	1298	3380	461	1598	4125	1370
Region1678	209	743	26	288	497	336
Region1679	146	421	20	144	202	205
Region1680	178	696	48	191	509	317
Region1681	132	409	37	137	370	212
Region1682	835	2287	225	727	1507	1049
Region1683	484	1574	125	488	1054	746
Region1684	327	1250	81	358	893	538
Region1685	64	616	33	224	531	270
Region1686	107	830	56	426	665	402
Region1687	1059	2729	236	1172	2430	1132
Region1688	426	1026	119	589	817	466
Region1689	1605	4625	772	1814	3819	2051
Region1690	1460	3231	612	1202	2130	1570
Region1691	229	572	87	252	563	297
Region1692	243	1001	180	640	1302	559
Region1693	199	571	94	251	505	290
Region1694	722	2245	371	356	487	1112
Region1695	331	926	134	126	233	465
Region1696	502	2483	283	279	335	1111
Region1697	373	1158	181	173	181	597
Region1698	169	613	57	96	74	283
Region1699	1179	683	536	296	426	284
Region1700	878	630	388	284	416	280
Region1701	243	359	67	609	935	135
Region1702	368	498	125	740	1134	200
Region1703	1800	12489	689	3875	6034	5307
Region1704	161	1038	86	505	1124	593
Region1705	171	1116	74	598	1181	516
Region1706	856	5019	315	1682	2832	2222
Region1707	642	2459	246	1010	2387	1241
Region1708	644	3806	301	1637	3292	1716
Region1709	1190	5010	491	2931	5867	2268
Region1710	329	1297	109	1147	1551	663
Region1711	117	687	76	297	696	368
Region1712	975	2734	382	1221	3122	1198
Region1713	1151	2185	271	1115	1998	977
Region1714	614	1858	230	632	1702	711
Region1715	419	1163	131	450	1049	617
Region1716	156	504	54	221	283	246
Region1717	490	1680	110	379	687	785
Region1718	195	486	82	193	555	273
Region1719	364	1228	97	563	816	530
Region1720	186	648	71	316	563	298
Region1721	888	3164	307	1148	3150	1309
Region1722	600	1981	142	884	1774	821
Region1723	250	1193	70	263	582	509
Region1724	274	700	65	454	734	322
Region1725	592	1402	149	551	1332	643
Region1726	1059	3298	396	1171	2837	1520
Region1727	268	655	83	336	490	299
Region1728	1464	1588	557	556	1125	685
Region1729	264	799	106	411	563	358
Region1730	268	891	55	312	772	351
Region1731	173	612	52	252	438	263
Region1732	228	774	75	194	404	330
Region1733	192	777	63	333	603	365
Region1734	309	1249	172	403	753	625
Region1735	404	1003	198	253	490	521
Region1736	530	601	252	249	668	349
Region1737	1147	1400	644	499	1036	844
Region1738	345	1005	67	272	693	455
Region1739	392	1478	96	436	1232	640
Region1740	643	1834	126	610	1386	777
Region1741	515	1586	210	652	1062	677
Region1742	716	2382	188	772	1660	1068
Region1743	159	750	43	299	461	321
Region1744	442	1601	102	367	1066	575
Region1745	294	1616	100	435	815	724
Region1746	340	1373	96	430	936	606
Region1747	1734	4594	336	5395	9149	1845
Region1748	150	680	39	200	321	309
Region1749	183	716	43	209	497	320
Region1750	681	1957	186	705	1619	814
Region1751	376	1449	98	490	720	635
Region1752	474	1610	141	463	801	652
Region1753	233	896	84	222	487	509
Region1754	219	1122	89	574	1338	520
Region1755	238	1335	87	452	1156	666
Region1756	80	609	33	259	429	287
Region1757	463	1387	223	662	1505	700
Region1758	386	1737	194	1010	2472	862
Region1759	487	1097	233	697	1241	561
Region1760	131	507	63	280	648	258
Region1761	312	625	175	379	789	361
Region1762	431	959	101	375	816	384
Region1763	2330	6490	1237	1939	4104	3112
Region1764	428	1286	86	527	873	502
Region1765	353	1308	86	185	378	595
Region1766	906	2273	319	964	1925	943
Region1767	1615	4519	397	1393	3295	1762
Region1768	1356	2897	290	1167	2363	1254
Region1769	930	2736	201	818	1652	1156
Region1770	214	648	44	325	528	278
Region1771	205	868	51	331	578	441
Region1772	746	2357	190	656	1508	1023
Region1773	435	1250	132	319	812	533
Region1774	237	750	58	257	650	292
Region1775	399	1518	97	329	1115	683
Region1776	966	2719	240	816	1770	1052
Region1777	618	1471	176	486	1368	698
Region1778	308	727	104	327	619	318
Region1779	605	2367	281	773	1584	1116
Region1780	320	1003	73	352	689	401
Region1781	345	1242	93	312	598	562
Region1782	124	690	44	175	255	330
Region1783	159	778	49	258	511	329
Region1784	302	988	125	277	796	483
Region1785	277	972	104	251	740	454
Region1786	3375	6179	1236	3365	7623	2891
Region1787	248	1000	68	284	543	417
Region1788	1314	3602	350	1331	2809	1400
Region1789	1507	5019	567	1636	4059	2200
Region1790	1595	8169	818	2913	5470	3931
Region1791	452	1116	109	458	713	437
Region1792	453	1205	127	517	614	599
Region1793	203	626	66	241	503	293
Region1794	755	1957	214	687	1410	808
Region1795	1257	4245	307	1368	2792	1879
Region1796	722	1653	161	682	1451	715
Region1797	3403	8796	913	2683	7098	3534
Region1798	208	810	50	199	460	373
Region1799	515	955	146	442	911	393
Region1800	293	784	102	383	739	385
Region1801	1053	3332	305	998	2458	1360
Region1802	216	493	50	133	330	231
Region1803	278	826	79	332	719	349
Region1804	946	2673	231	829	2169	1165
Region1805	2650	6601	713	2131	5805	2764
Region1806	803	2269	228	629	1553	950
Region1807	322	510	79	284	704	227
Region1808	229	746	78	271	523	348
Region1809	556	1577	124	540	1101	574
Region1810	804	3435	338	1015	2258	1531
Region1811	147	418	53	170	309	203
Region1812	1102	2462	286	614	2212	1117
Region1813	124	360	50	325	792	210
Region1814	96	451	21	115	243	219
Region1815	745	2189	167	657	1480	947
Region1816	154	444	28	226	334	232
Region1817	680	1842	177	715	1603	865
Region1818	611	2234	198	693	1179	960
Region1819	319	842	78	429	628	394
Region1820	308	916	58	288	535	419
Region1821	277	1300	77	310	783	469
Region1822	264	851	70	472	959	381
Region1823	1104	2949	245	997	1998	1322
Region1824	348	614	44	540	762	261
Region1825	524	2323	232	1195	2353	1037
Region1826	897	4828	276	3041	5675	2114
Region1827	353	1457	109	676	1434	679
Region1828	588	1696	209	946	1655	854
Region1829	339	1110	96	338	739	500
Region1830	3580	9994	1445	3348	8475	4293
Region1831	2497	4994	569	1764	4277	1937
Region1832	1612	4464	427	1605	3288	1934
Region1833	182	476	69	274	461	242
Region1834	3449	7042	805	2702	5976	2899
Region1835	538	424	129	389	607	172
Region1836	2766	4411	811	1783	4801	2005
Region1837	1135	1815	282	1201	2242	754
Region1838	787	1827	208	863	1299	908
Region1839	3218	8125	1095	2842	6549	3652
Region1840	662	1912	189	866	1709	822
Region1841	869	2338	243	1057	1849	957
Region1842	219	226	24	512	725	102
Region1843	494	1019	128	500	1211	512
Region1844	222	979	85	200	513	423
Region1845	203	781	57	234	473	354
Region1846	153	618	49	524	636	316
Region1847	426	1522	99	1144	1560	810
Region1848	242	761	85	365	648	402
Region1849	1695	4020	433	1792	3177	1703
Region1850	815	1796	222	553	1591	863
Region1851	193	404	78	163	369	214
Region1852	624	960	158	502	948	404
Region1853	940	3361	317	756	1720	1413
Region1854	1392	3028	378	732	1709	1275
Region1855	856	2861	304	669	1181	1165
Region1856	2389	7010	1049	2296	5005	3217
Region1857	192	592	67	194	372	316
Region1858	347	1257	122	544	906	542
Region1859	624	1275	213	868	1574	576
Region1860	129	414	38	135	279	222
Region1861	474	1328	190	902	1592	565
Region1862	742	1633	226	765	1754	794
Region1863	67	282	30	406	764	170
Region1864	195	1168	68	353	834	462
Region1865	777	2793	203	723	1458	1265
Region1866	111	225	16	221	377	112
Region1867	2113	5544	794	5088	8624	2220
Region1868	299	130	85	20	24	42
Region1869	410	238	108	163	195	96
Region1870	544	1879	151	607	1264	833
Region1871	83	407	24	151	239	197
Region1872	185	509	57	178	208	240
Region1873	270	803	82	302	611	353
Region1874	1257	3139	334	1080	2006	1240
Region1875	278	1284	70	310	669	564
Region1876	211	550	54	217	536	247
Region1877	345	767	71	328	854	376
Region1878	383	1260	103	718	1324	514
Region1879	422	1082	141	794	1343	476
Region1880	1012	2038	516	1453	2697	986
Region1881	220	809	40	151	358	307
Region1882	155	518	31	124	304	238
Region1883	158	687	44	184	359	295
Region1884	224	869	45	273	508	364
Region1885	242	897	75	284	727	469
Region1886	296	827	63	352	623	362
Region1887	99	439	30	116	209	224
Region1888	315	1269	107	606	890	597
Region1889	1111	3476	317	1184	2511	1447
Region1890	331	1251	116	310	619	507
Region1891	1035	2404	248	956	2547	989
Region1892	2555	3916	884	1382	3629	1699
Region1893	778	292	241	263	664	156
Region1894	207	561	65	195	589	286
Region1895	254	897	61	222	400	398
Region1896	86	234	22	466	772	156
Region1897	96	348	27	402	719	166
Region1898	144	369	51	484	736	178
Region1899	87	420	40	370	584	186
Region1900	166	244	132	318	499	184
Region1901	196	296	108	263	376	146
Region1902	73	156	78	124	241	75
Region1903	2126	2022	1059	2038	3659	1043
Region1904	213	376	114	200	643	215
Region1905	292	1148	72	411	691	509
Region1906	403	1154	135	396	687	538
Region1907	315	961	80	432	685	373
Region1908	252	908	94	302	901	472
Region1909	240	880	50	416	740	425
Region1910	249	982	42	354	555	422
Region1911	1362	2994	393	1299	3157	1336
Region1912	1172	3020	374	1171	3227	1227
Region1913	322	826	85	297	1092	375
Region1914	936	2519	192	731	2061	1061
Region1915	720	1721	225	757	1695	775
Region1916	731	1804	229	1222	2183	705
Region1917	3475	7702	1614	6145	11870	3575
Region1918	582	1770	168	641	1377	839
Region1919	154	582	49	193	410	262
Region1920	632	2276	147	1164	2293	979
Region1921	299	908	48	272	569	402
Region1922	324	973	70	306	600	431
Region1923	329	837	175	372	953	435
Region1924	2436	4755	659	3337	7656	1868
Region1925	364	920	109	389	1042	393
Region1926	1383	2313	564	1331	2613	1026
Region1927	1022	1908	202	1069	1860	669
Region1928	178	591	77	528	1047	237
Region1929	175	91	86	63	101	39
Region1930	696	4056	214	992	1785	1632
Region1931	104	576	40	235	460	305
Region1932	344	1563	99	516	751	745
Region1933	179	1002	53	367	902	430
Region1934	967	2625	286	1227	2656	1137
Region1935	388	1155	82	551	934	461
Region1936	3158	5137	901	3055	6340	2087
Region1937	515	1511	196	565	1330	650
Region1938	214	1156	67	312	411	444
Region1939	243	735	62	185	311	314
Region1940	125	835	32	193	340	424
Region1941	222	540	40	207	448	225
Region1942	742	1756	161	2087	2416	668
Region1943	296	805	106	903	1399	314
Region1944	3911	8937	1160	4410	8109	3530
Region1945	559	2240	175	1449	2878	1026
Region1946	657	5063	234	2084	4217	2131
Region1947	117	689	25	148	376	286
Region1948	327	880	97	322	513	430
Region1949	1474	4255	519	1105	3540	1920
Region1950	1295	4196	470	1909	3367	2005
Region1951	679	4021	360	1063	2167	1976
Region1952	2223	8893	960	2673	4696	4066
Region1953	659	2000	142	766	1630	859
Region1954	485	1385	150	644	1451	617
Region1955	366	1135	100	419	849	501
Region1956	629	2080	187	839	1554	924
Region1957	171	773	36	306	528	332
Region1958	844	2464	373	1123	2449	1054
Region1959	313	1179	76	405	770	502
Region1960	187	433	47	214	418	226
Region1961	283	1035	74	389	678	466
Region1962	476	1860	247	521	1358	798
Region1963	188	726	45	215	350	317
Region1964	526	1499	122	494	881	636
Region1965	485	1293	122	480	921	565
Region1966	296	1168	96	348	665	524
Region1967	1220	5419	472	1792	3888	2530
Region1968	892	4216	366	1388	2985	2031
Region1969	1234	6000	540	1700	3073	2760
Region1970	378	1257	121	531	1275	606
Region1971	363	760	63	183	579	358
Region1972	540	1061	158	302	679	420
Region1973	2173	4223	594	2084	3983	1836
Region1974	284	1380	94	636	1671	694
Region1975	299	689	95	235	763	269
Region1976	640	1352	221	1175	2242	586
Region1977	237	710	35	216	344	369
Region1978	479	1368	183	550	1342	631
Region1979	2054	4368	602	2060	3893	1729
Region1980	677	1314	127	668	1282	524
Region1981	419	1301	99	383	1069	548
Region1982	597	1057	107	992	1947	493
Region1983	186	420	90	437	1188	197
Region1984	354	3242	134	1143	2659	1485
Region1985	1226	3591	382	1441	3576	1438
Region1986	542	1255	75	442	933	471
Region1987	867	2823	225	737	1966	1216
Region1988	653	1884	108	541	1460	924
Region1989	2308	6355	780	1869	4480	2595
Region1990	149	300	54	593	709	149
Region1991	173	264	109	417	1046	153
Region1992	238	574	46	890	1623	264
Region1993	213	567	63	1101	2140	309
Region1994	315	1168	71	1776	3484	510
Region1995	74	251	8	563	1016	112
Region1996	247	923	72	396	598	375
Region1997	88	508	28	119	197	250
Region1998	333	798	181	438	865	418
Region1999	558	1759	166	573	1312	928
Region2000	178	466	81	184	337	234
Region2001	1422	4341	401	1202	3198	1987
Region2002	421	1190	76	484	946	485
Region2003	378	973	98	369	883	429
Region2004	124	1126	60	284	453	524
Region2005	90	445	60	268	413	231
Region2006	142	596	78	209	448	320
Region2007	646	2872	285	2070	3529	1475
Region2008	1686	5983	648	2422	4649	2793
Region2009	308	735	119	445	991	345
Region2010	234	585	102	420	766	309
Region2011	395	605	144	564	1098	301
Region2012	812	2238	215	1138	2280	994
Region2013	1153	3381	287	1074	2325	1414
Region2014	1557	5513	431	1571	3856	2337
Region2015	267	1020	149	425	1077	512
Region2016	261	957	82	326	811	438
Region2017	369	1126	70	281	642	442
Region2018	487	1238	115	579	865	574
Region2019	798	2911	158	721	1456	1287
Region2020	483	1225	116	472	1097	556
Region2021	814	1602	154	705	1330	702
Region2022	469	1267	140	465	839	570
Region2023	360	1117	88	314	621	500
Region2024	1125	2775	438	1161	2668	1240
Region2025	1747	3655	755	1944	4028	1676
Region2026	413	1129	128	264	598	577
Region2027	1202	2659	565	1380	2600	1550
Region2028	1410	2138	529	868	1776	1211
Region2029	307	777	70	315	493	429
Region2030	825	1600	321	670	1300	903
Region2031	2350	7331	897	1910	4728	3279
Region2032	2465	6538	586	1510	3851	2848
Region2033	623	1653	158	670	1369	631
Region2034	312	784	105	252	616	376
Region2035	284	801	76	306	400	362
Region2036	143	529	34	211	340	233
Region2037	305	843	96	389	595	340
Region2038	874	2737	252	1045	2393	1169
Region2039	161	638	44	246	332	291
Region2040	516	1364	131	505	883	567
Region2041	183	720	49	202	353	331
Region2042	271	1237	58	349	617	536
Region2043	418	1161	87	509	912	535
Region2044	542	1716	153	684	1368	729
Region2045	1023	5112	391	2009	4398	2337
