Toll10b_2	Toll9_2	Toll10b_1	Gd7_2	Gd7_1	Toll9_1
Region177	392	1433	95	385	980	647
Region178	221	967	89	337	637	499
Region179	163	392	51	171	373	229
Region180	252	899	88	380	828	387
Region181	205	956	57	318	678	407
Region182	544	2276	138	667	1468	1018
Region183	225	624	81	274	569	304
Region184	283	837	61	477	703	384
Region185	155	747	52	215	503	291
Region186	2851	6053	762	3438	6142	2318
Region187	509	1916	147	554	1001	847
Region188	156	827	65	468	1124	496
Region189	161	954	73	1078	2090	431
Region190	127	673	54	725	1354	366
Region191	815	2401	156	736	1279	1060
Region192	437	1433	107	489	940	629
Region193	417	1450	107	300	577	597
Region194	551	1702	203	741	2069	718
Region195	115	518	17	256	667	302
Region196	243	634	71	204	353	291
Region197	294	753	75	295	702	333
Region198	177	565	53	124	367	278
Region199	129	636	27	161	356	250
Region200	137	392	42	413	994	197
Region201	549	1790	222	655	2047	852
Region202	1458	3835	653	1784	4561	1841
Region203	924	1455	372	608	1741	671
Region204	169	806	54	305	698	400
Region205	812	3149	334	1217	3249	1565
Region206	131	921	36	216	505	444
Region207	174	571	62	250	625	282
Region208	124	576	39	434	996	344
Region209	486	1480	132	753	1328	628
Region210	653	1879	121	708	1426	858
Region211	172	549	50	312	648	232
Region212	223	980	98	678	1342	420
Region213	160	872	59	373	782	379
Region214	149	520	33	211	526	249
Region215	250	1057	115	265	756	562
Region216	519	1943	199	538	934	1036
Region217	201	1045	100	250	429	527
Region218	325	1632	156	495	857	923
Region219	257	656	124	168	309	377
Region220	723	1245	344	306	611	682
Region221	818	1638	359	328	584	811
Region222	360	312	112	104	130	154
Region223	142	501	51	186	373	264
Region224	382	1266	126	423	820	531
Region225	205	717	45	248	552	375
Region226	361	1381	86	360	659	539
Region227	156	598	26	217	400	271
Region228	310	881	68	349	716	378
Region229	205	768	50	289	533	367
Region230	350	929	84	405	842	394
Region231	356	1283	100	601	948	608
Region232	426	1231	132	522	1017	597
Region233	387	1121	101	620	896	487
Region234	306	1052	69	336	599	496
Region235	555	1804	208	768	1530	921
Region236	434	1339	82	423	760	522
Region237	256	873	55	258	546	389
Region238	701	2272	160	611	1661	920
Region239	155	820	33	171	294	318
Region240	250	1093	56	280	880	489
Region241	110	423	40	206	309	233
Region242	507	3864	284	1151	2048	1757
Region243	260	2149	114	601	1117	972
Region244	547	1677	178	799	1374	804
Region245	299	612	59	439	796	259
Region246	512	1704	150	698	1333	773
Region247	544	1250	151	1000	2251	528
Region248	404	1160	90	442	926	517
Region249	735	2720	168	806	1559	1134
Region250	900	2381	250	966	2185	940
Region251	1025	698	438	413	777	372
Region252	2840	2735	1020	1588	2355	1196
Region253	616	816	266	363	871	414
Region254	260	548	104	582	756	210
Region255	489	1944	143	582	1064	910
Region256	300	1042	54	440	633	448
Region257	201	1040	63	246	346	520
Region258	425	1554	136	392	1004	643
Region259	759	1649	219	713	1362	670
Region260	1007	2375	243	1083	1924	996
Region261	197	1063	78	305	677	464
Region262	745	2794	185	1052	1861	1120
Region263	538	1562	89	636	1056	646
Region264	1087	2590	418	1438	3557	1146
Region265	874	2022	321	1019	2336	852
Region266	562	2608	157	744	1662	1200
Region267	1062	2696	250	903	2219	1193
Region268	717	2639	193	963	2215	1119
Region269	336	1130	67	555	1143	553
Region270	1693	3867	497	2543	3951	1780
Region271	440	1613	124	640	1259	697
Region272	569	1582	197	651	1630	722
Region273	206	836	90	327	792	442
Region274	385	1113	83	616	777	489
Region275	241	1084	99	355	776	439
Region276	140	495	43	155	313	244
Region277	425	766	73	747	1329	222
Region278	324	602	111	245	636	329
Region279	710	1933	266	680	1515	1019
Region280	1073	2027	456	1301	2695	1163
Region281	484	627	303	250	508	401
Region282	171	257	84	92	165	127
Region283	134	421	63	115	258	226
Region284	140	573	63	221	600	253
Region285	3398	7247	1039	4204	8526	2838
Region286	1975	5554	600	2193	5213	2249
Region287	723	1901	91	495	1168	791
Region288	365	1076	93	433	1087	503
Region289	308	830	71	434	519	329
Region290	736	1730	194	691	1268	710
Region291	286	1272	67	543	985	522
Region292	293	843	86	303	618	365
Region293	157	791	64	197	402	332
Region294	3607	8399	1134	2938	7455	3446
Region295	258	635	89	257	692	308
Region296	187	535	42	233	429	225
Region297	359	651	123	397	698	289
Region298	599	437	174	145	319	183
Region299	138	488	72	358	551	239
Region300	1252	3017	313	2013	3114	1228
Region301	483	1244	162	580	1047	629
Region302	138	676	35	192	483	290
Region303	1522	6156	598	2629	5050	2573
Region304	264	829	83	419	647	391
Region305	374	1317	117	559	846	551
Region306	614	2030	130	776	1333	853
Region307	1955	5049	488	2781	4667	2280
Region308	821	2329	237	688	2037	1010
Region309	279	1231	77	345	801	549
Region310	198	938	65	319	633	361
Region311	290	1215	77	411	676	510
Region312	234	772	44	300	563	356
Region313	201	917	63	343	800	458
Region314	402	1460	102	681	982	604
Region315	637	1596	124	555	964	655
Region316	604	2038	183	546	1248	821
Region317	415	1714	145	908	1902	799
Region318	1058	2427	245	1978	5097	933
Region319	242	800	69	255	401	367
Region320	250	716	72	245	540	306
Region321	1521	3495	455	1937	3851	1581
Region322	151	543	33	193	350	240
Region323	472	886	150	523	1255	432
Region324	664	1659	159	814	1162	665
Region325	819	2830	297	1120	2669	1272
Region326	702	1346	256	778	1452	604
Region327	370	771	79	346	603	351
Region328	870	2852	259	848	1781	1245
Region329	362	1123	88	472	722	528
Region330	531	1657	139	577	1037	718
Region331	1125	3588	317	1388	2938	1496
Region332	277	970	70	395	710	480
Region333	1785	4258	448	1353	3816	1699
Region334	862	2820	373	1345	3539	1404
Region335	199	674	96	229	575	372
Region336	187	818	86	261	498	318
Region337	186	864	42	322	403	411
Region338	239	737	64	233	438	329
Region339	178	637	65	166	350	295
Region340	370	803	79	464	784	411
Region341	400	969	105	463	690	459
Region342	1765	4478	461	2081	5700	1897
Region343	149	323	15	997	1314	132
Region344	166	552	60	226	294	264
Region345	152	451	47	142	347	231
Region346	104	609	27	246	345	332
Region347	304	1251	87	355	715	612
Region348	193	927	83	273	387	450
Region349	1070	3125	257	1060	2046	1339
Region350	243	771	64	315	430	359
Region351	942	2253	423	1039	2029	980
Region352	5461	13827	1950	5072	12225	5531
Region353	195	799	66	256	512	328
Region354	336	1206	83	390	837	553
Region355	671	2222	170	774	1711	1027
Region356	982	2712	271	1015	1810	1155
Region357	628	1852	121	747	1292	790
Region358	1566	3565	440	1489	2949	1525
Region359	4063	6946	1123	3068	8529	3031
Region360	990	2229	226	986	2223	892
Region361	195	1463	73	371	905	736
Region362	171	674	87	396	590	393
Region363	186	649	71	244	498	331
Region364	284	800	55	357	702	410
Region365	1081	3223	311	1125	3102	1372
Region366	1861	5354	575	1612	4501	2012
Region367	1931	4292	657	1610	4339	1885
Region368	1084	2368	435	646	1438	1265
Region369	150	767	87	273	556	388
Region370	266	1291	77	363	815	627
Region371	96	438	27	175	291	210
Region372	188	706	51	259	635	297
Region373	306	1469	79	373	864	567
Region374	435	1285	104	264	695	695
Region375	443	1017	165	350	751	523
Region376	1544	3701	486	1304	3266	1820
Region377	498	1029	117	408	819	457
Region378	251	1080	128	371	782	500
Region379	144	508	41	157	350	227
Region380	236	1153	58	386	580	446
Region381	251	795	135	467	827	344
Region382	650	1843	253	723	1920	814
Region383	656	401	206	739	2144	228
Region384	606	654	214	1473	3746	319
Region385	219	284	74	198	436	159
Region386	313	595	122	199	863	294
Region387	271	368	101	275	663	199
Region388	472	2540	256	818	2065	1314
Region389	114	553	27	251	626	276
Region390	410	631	72	267	419	252
Region391	331	1229	110	308	843	595
Region392	1218	3590	290	1077	3023	1591
Region393	346	903	167	406	1051	459
Region394	415	810	113	318	775	391
Region395	551	1144	174	580	990	532
Region396	353	1287	170	369	970	656
Region397	1076	2720	285	1021	2232	1225
Region398	99	458	32	148	354	224
Region399	390	927	197	594	1353	454
Region400	317	1082	56	429	703	525
Region401	3220	8405	1050	3242	7871	3569
Region402	729	2345	227	910	2140	986
Region403	892	1800	185	805	1581	775
Region404	151	519	46	178	482	246
Region405	873	2613	216	1039	1943	1121
Region406	270	1348	106	453	838	590
Region407	569	1855	227	767	1471	882
Region408	160	496	49	228	338	259
Region409	950	2441	237	920	2397	1073
Region410	1377	4256	544	1613	3577	1992
Region411	881	2664	192	660	1821	1116
Region412	187	733	62	141	285	357
Region413	362	838	90	272	775	400
Region414	286	1051	103	342	793	530
Region415	293	827	54	282	726	427
Region416	361	938	95	423	1112	474
Region417	162	532	23	162	217	262
Region418	556	1096	166	394	677	477
Region419	6439	7072	2322	2963	5904	2920
Region420	203	601	57	250	340	277
Region421	202	608	36	272	462	259
Region422	155	564	36	328	634	286
Region423	534	1369	197	1276	2725	783
Region424	326	1053	118	842	2034	564
Region425	172	641	37	258	542	324
Region426	372	1756	114	757	1614	757
Region427	120	431	40	224	399	166
Region428	1108	3186	222	967	2348	1445
Region429	703	1979	177	708	1481	905
Region430	234	602	54	250	492	280
Region431	2786	6351	685	2348	5787	2737
Region432	261	1028	83	400	679	419
Region433	252	690	73	287	530	294
Region434	2676	6285	711	2596	5648	2634
Region435	597	1553	178	537	1456	744
Region436	1645	3186	462	1347	2498	1372
Region437	461	1126	129	299	922	484
Region438	2160	4101	426	1789	3475	1731
Region439	1742	4833	458	1709	4153	2133
Region440	260	1295	56	429	1000	736
Region441	1146	3817	326	1207	2168	1683
Region442	171	666	38	173	285	288
Region443	217	714	50	201	519	402
Region444	143	1417	74	589	1237	709
Region445	366	1402	132	1322	2234	578
Region446	1198	4410	508	2524	4667	1832
Region447	630	1778	155	599	1345	752
Region448	531	1402	163	626	1361	682
Region449	567	1897	178	652	1995	847
Region450	323	1259	87	685	1343	565
Region451	662	2271	167	813	1427	912
Region452	282	642	93	209	692	311
Region453	828	3031	179	1032	2333	1276
Region454	390	962	167	375	1026	444
Region455	178	1576	65	424	835	768
Region456	164	1348	63	415	691	706
Region457	461	5514	148	768	916	2763
Region458	402	4047	142	542	941	1987
Region459	71	809	23	137	154	408
Region460	269	2342	155	366	544	1262
Region461	547	7481	293	805	1174	3898
Region462	570	5563	272	611	783	2702
Region463	109	745	34	115	161	400
Region464	252	2594	56	319	392	1269
Region465	236	3758	87	355	405	1755
Region466	155	1707	44	147	269	844
Region467	75	572	9	132	192	318
Region468	281	581	72	207	616	284
Region469	287	692	107	264	814	384
Region470	201	635	57	304	720	320
Region471	214	664	82	240	555	355
Region472	191	842	70	254	355	386
Region473	275	785	99	293	735	343
Region474	273	661	82	309	569	320
Region475	1199	1556	567	1124	2441	857
Region476	380	406	195	85	130	251
Region477	192	266	126	37	73	139
Region478	555	1803	163	649	1397	873
Region479	778	2691	212	686	1223	1106
Region480	461	1926	169	786	1513	845
Region481	358	958	112	398	1110	413
Region482	807	2733	225	1598	2921	1166
Region483	58	475	12	142	224	214
Region484	191	691	100	274	771	416
Region485	542	3038	180	745	2065	1462
Region486	290	660	94	415	934	324
Region487	389	1400	110	535	943	652
Region488	841	1766	251	721	1839	824
Region489	108	480	54	267	526	339
Region490	478	1924	237	625	1270	941
Region491	116	778	57	324	556	369
Region492	249	592	49	240	622	291
Region493	315	386	143	415	968	233
Region494	164	529	55	195	426	260
Region495	477	1715	151	461	1365	678
Region496	563	1352	237	582	1055	629
Region497	311	801	89	379	776	400
Region498	201	479	88	233	574	242
Region499	331	1044	76	264	815	469
Region500	919	2885	346	1537	2964	1168
Region501	306	1104	98	486	873	463
Region502	212	856	89	330	471	397
Region503	197	527	58	290	532	269
Region504	117	538	30	141	300	230
Region505	734	1824	175	658	1627	765
Region506	373	1195	129	386	706	443
Region507	1315	3401	421	1167	2954	1424
Region508	764	2142	286	719	1942	939
Region509	846	3020	242	1191	2139	1351
Region510	433	1259	129	545	1011	574
Region511	89	464	33	145	271	245
Region512	886	2889	250	1168	2056	1334
Region513	334	1058	82	300	773	450
Region514	502	1320	96	681	968	609
Region515	377	1170	78	577	971	496
Region516	1489	4894	518	1487	2861	2137
Region517	324	627	54	330	755	259
Region518	2383	9520	936	3041	5953	4380
Region519	3016	11193	1400	4394	8039	5244
Region520	431	1202	102	590	1073	606
Region521	1107	3952	587	1421	2651	1804
Region522	262	580	108	279	755	267
Region523	1741	5086	611	2144	3862	2136
Region524	264	1277	101	597	839	570
Region525	983	2607	294	935	2146	1200
Region526	355	1314	81	311	982	573
Region527	492	1629	132	1055	1511	780
Region528	157	485	41	220	566	252
Region529	220	629	62	308	707	313
Region530	2038	4588	565	2294	6336	2018
Region531	386	1093	65	311	907	483
Region532	574	1715	156	548	2059	737
Region533	1557	3186	497	1849	5371	1340
Region534	697	1668	230	638	1756	729
Region535	427	1316	124	740	1933	675
Region536	1835	4191	431	1295	4676	1692
Region537	896	1824	270	755	2377	729
Region538	2098	4249	716	1977	5712	1845
Region539	946	1901	264	830	2937	745
Region540	1773	4497	379	1685	5157	1786
Region541	1123	3008	308	1461	2978	1225
Region542	605	1494	153	523	2102	641
Region543	485	1280	114	566	1661	564
Region544	252	803	66	352	774	374
Region545	223	576	43	283	473	271
Region546	249	513	42	270	665	250
Region547	725	2160	123	649	1990	857
Region548	351	1516	107	514	1668	580
Region549	161	586	15	163	384	242
Region550	329	1007	46	339	992	456
Region551	650	1488	134	453	1513	673
Region552	339	967	81	355	766	505
Region553	586	1313	164	559	1382	584
Region554	505	1306	149	641	1452	544
Region555	347	872	78	394	1135	338
Region556	412	1396	171	256	736	614
Region557	202	540	67	268	674	243
Region558	2282	4640	589	2545	6431	1978
Region559	225	753	71	433	937	347
Region560	450	1039	86	387	1313	510
Region561	237	538	53	232	735	279
Region562	383	1174	129	624	1289	518
Region563	295	734	43	265	721	343
Region564	549	1643	154	516	1431	715
Region565	784	1901	187	703	2319	885
Region566	950	2406	275	1518	3264	1102
Region567	392	1469	105	448	879	606
Region568	1010	1797	405	831	2278	811
Region569	1301	2939	358	1463	3443	1299
Region570	3229	6351	741	3192	8021	2555
Region571	2645	4897	656	1917	6484	2112
Region572	2157	5207	513	2260	7332	2194
Region573	2550	5342	633	2303	7178	2350
Region574	600	1672	143	568	1679	662
Region575	830	2296	257	932	2514	969
Region576	489	1328	132	544	1281	560
Region577	424	1033	91	331	1108	472
Region578	537	1588	105	460	1125	623
Region579	687	1788	184	807	1916	758
Region580	993	2499	274	1576	3437	941
Region581	1507	3174	375	1468	3592	1401
Region582	265	780	61	410	732	368
Region583	223	563	52	289	540	293
Region584	596	1610	137	900	1701	661
Region585	435	1068	140	525	1164	492
Region586	299	872	89	366	994	416
Region587	185	495	34	151	486	263
Region588	233	982	68	232	512	498
Region589	332	1127	79	300	759	513
Region590	522	1471	161	531	1477	627
Region591	364	1327	78	472	1056	586
Region592	212	997	70	389	709	392
Region593	384	1364	82	526	996	531
Region594	213	2391	55	398	485	1100
Region595	52	547	10	90	170	270
Region596	160	1569	42	440	701	798
Region597	183	1454	69	333	693	699
Region598	833	2680	171	938	1516	1111
Region599	1132	2961	275	1024	1707	1144
Region600	698	1557	161	569	998	693
Region601	130	448	32	190	361	227
Region602	903	2700	189	717	1447	1063
Region603	383	1130	94	294	618	474
Region604	1378	3300	348	1299	2951	1374
Region605	401	1093	121	322	879	532
Region606	227	1086	101	308	614	443
Region607	466	1746	133	470	858	687
Region608	151	701	63	266	503	324
Region609	658	1858	150	507	1320	793
Region610	184	544	55	350	478	259
Region611	205	857	64	515	990	382
Region612	293	568	85	346	695	271
Region613	204	926	50	182	481	393
Region614	266	901	49	191	536	417
Region615	181	447	40	181	507	209
Region616	914	2540	237	726	1639	1162
Region617	1627	3513	407	1539	3028	1569
Region618	396	866	114	1032	1691	286
Region619	675	1394	208	2571	3798	532
Region620	227	911	63	341	616	434
Region621	261	823	80	323	599	366
Region622	335	1148	85	366	713	502
Region623	177	525	46	218	450	253
Region624	406	1218	92	556	1064	545
Region625	880	2980	267	776	1545	1312
Region626	1129	3518	240	1031	2164	1448
Region627	511	1842	158	643	1222	892
Region628	493	1250	88	411	728	550
Region629	175	425	41	217	340	204
Region630	599	1968	171	684	1007	757
Region631	302	1216	87	387	796	566
Region632	283	1010	112	315	567	459
Region633	1093	1935	373	1328	1863	853
Region634	1215	2346	420	1374	2660	1145
Region635	398	986	68	338	616	501
Region636	149	484	52	209	415	223
Region637	1310	3158	405	2094	3313	1353
Region638	1096	1598	177	701	2010	695
Region639	188	512	119	351	610	301
Region640	916	1980	239	941	2274	709
Region641	509	2265	151	543	1082	842
Region642	844	2618	199	786	1765	1178
Region643	998	2511	257	1105	1926	1098
Region644	183	683	62	201	356	315
Region645	451	1290	111	368	967	547
Region646	276	973	80	328	656	405
Region647	250	511	92	223	470	220
Region648	327	1032	87	343	715	501
Region649	176	685	40	225	450	321
Region650	207	529	43	231	299	267
Region651	211	902	61	331	622	411
Region652	482	1622	124	470	835	686
Region653	218	971	55	212	449	413
Region654	368	945	111	476	687	409
Region655	151	590	65	176	416	308
Region656	369	1045	99	497	868	446
Region657	183	551	50	220	538	241
Region658	250	637	68	387	669	286
Region659	314	930	107	403	972	415
Region660	1665	3992	486	1496	3412	1689
Region661	2335	4520	865	2609	4933	1885
Region662	170	536	58	272	488	287
Region663	315	1086	110	398	1059	585
Region664	454	2052	196	819	2056	1053
Region665	278	613	105	240	806	386
Region666	670	2669	228	766	1833	1192
Region667	594	1228	215	335	710	727
Region668	307	654	184	224	496	379
Region669	157	526	70	182	358	322
Region670	109	485	59	149	236	284
Region671	92	483	50	129	221	301
Region672	1358	3547	376	1340	3116	1331
Region673	389	1170	106	316	524	512
Region674	319	1173	103	481	806	562
Region675	205	514	39	211	509	233
Region676	432	1214	103	501	712	478
Region677	1163	2837	273	1122	2407	1374
Region678	756	1490	543	866	2343	743
Region679	766	1576	529	847	2442	818
Region680	423	1036	82	429	1005	453
Region681	1224	3031	207	1149	2505	1108
Region682	546	1445	114	541	1282	671
Region683	529	1523	84	546	823	617
Region684	1171	3051	481	1194	2906	1275
Region685	1492	4767	417	1357	3201	2033
Region686	138	440	41	218	379	242
Region687	219	774	69	303	463	318
Region688	976	2831	213	1085	2583	1156
Region689	525	1206	181	567	1155	538
Region690	945	3935	185	834	1583	1665
Region691	1349	6325	312	1274	2803	2685
Region692	199	738	117	526	797	384
Region693	165	1007	119	901	919	664
Region694	234	1024	127	1071	1235	620
Region695	121	603	43	219	423	288
Region696	365	1350	82	473	849	567
Region697	458	1484	161	561	1214	626
Region698	923	3566	295	1166	2468	1444
Region699	319	939	64	283	744	474
Region700	314	916	96	492	914	427
Region701	238	990	47	314	609	436
Region702	311	1036	105	419	701	443
Region703	239	631	73	254	507	297
Region704	219	1046	69	455	700	458
Region705	555	1795	119	581	1240	743
Region706	711	2562	198	753	1708	1083
Region707	432	1016	112	388	726	522
Region708	179	595	49	190	424	304
Region709	330	1109	119	402	1035	588
Region710	214	188	141	66	78	79
Region711	214	933	45	240	589	415
Region712	296	1458	82	437	865	659
Region713	1513	3470	298	1228	3040	1462
Region714	363	1188	91	378	725	498
Region715	334	1342	108	534	951	558
Region716	366	1285	83	356	802	548
Region717	427	1424	83	542	809	584
Region718	1217	3236	290	1200	2720	1274
Region719	799	2645	186	970	1673	1208
Region720	330	645	89	328	673	284
Region721	145	439	53	180	454	262
Region722	2929	5382	957	2974	6863	2160
Region723	658	217	264	205	256	120
Region724	1082	216	292	135	208	116
Region725	5082	674	1326	498	554	335
Region726	481	1273	152	846	1924	658
Region727	140	842	48	429	494	381
Region728	316	1072	97	282	787	503
Region729	280	1435	86	399	736	604
Region730	964	2703	315	1020	2249	1186
Region731	582	1889	136	1085	1496	776
Region732	431	1379	114	339	761	576
Region733	108	691	57	269	342	460
Region734	251	595	108	149	161	304
Region735	581	1249	191	421	658	701
Region736	147	744	50	229	587	329
Region737	454	1273	109	450	1020	568
Region738	473	1457	121	810	1185	661
