"queryHits" "subjectHits"
"357" 117 7692
"358" 118 7702
"359" 118 7703
"360" 118 7704
"361" 118 7705
"362" 118 7706
"363" 118 7707
"364" 119 7712
"365" 119 7713
"366" 119 7714
"367" 119 7715
"368" 119 7716
"369" 119 7717
"370" 119 7718
"371" 119 7719
"372" 119 7720
"373" 120 7712
"374" 120 7713
"375" 120 7714
"376" 120 7715
"377" 120 7716
"378" 120 7717
"379" 120 7718
"380" 120 7719
"381" 120 7720
"382" 120 7721
"383" 120 7722
"384" 120 7723
"385" 120 7724
"386" 120 7725
"387" 120 7726
"388" 120 7727
"389" 120 7728
"390" 120 7729
"391" 121 7712
"392" 121 7713
"393" 121 7714
"394" 121 7715
"395" 121 7716
"396" 121 7717
"397" 121 7718
"398" 121 7719
"399" 121 7720
"400" 121 7721
"401" 121 7722
"402" 121 7723
"403" 121 7724
"404" 121 7725
"405" 121 7726
"406" 121 7727
"407" 121 7728
"408" 121 7729
"409" 122 7748
"410" 122 7749
"411" 122 7750
"412" 123 7751
"413" 123 7752
"414" 123 7753
"415" 123 7754
"416" 123 7755
"417" 123 7756
"418" 124 7751
"419" 124 7752
"420" 124 7753
"421" 124 7754
"422" 124 7755
"423" 124 7756
"424" 128 7893
"425" 128 7894
"426" 128 7895
"427" 128 7896
"428" 128 7897
"429" 128 7898
"430" 128 7899
"431" 128 7900
"432" 128 7901
"433" 128 7902
"434" 129 8408
"435" 129 8409
"436" 129 8410
"437" 129 8411
"438" 129 8412
"439" 129 8413
"440" 129 8414
"441" 129 8415
"442" 130 8634
"443" 130 8635
"444" 130 8636
"445" 130 8637
"446" 130 8638
"447" 130 8639
"448" 130 8640
"449" 130 8641
"450" 133 9212
"451" 133 9213
"452" 133 9214
"453" 133 9215
"454" 133 9216
"455" 133 9217
"456" 133 9218
"457" 134 9219
"458" 134 9220
"459" 134 9221
"460" 134 9222
"461" 134 9223
"462" 134 9224
"463" 134 9225
"464" 134 9226
"465" 134 9227
"466" 134 9228
"467" 134 9229
"468" 134 9230
"469" 134 9231
"470" 134 9232
"471" 134 9233
"472" 134 9234
"473" 134 9235
"474" 134 9236
"475" 136 9533
"476" 136 9534
"477" 136 9535
"478" 138 9802
"479" 138 9803
"480" 138 9804
"481" 139 9805
"482" 139 9806
"483" 139 9807
"484" 139 9808
"485" 139 9809
"486" 139 9810
"487" 139 9811
"488" 139 9812
"489" 139 9813
"490" 140 9808
"491" 140 9809
"492" 140 9810
"493" 140 9811
"494" 140 9812
"495" 140 9813
"496" 140 9814
"497" 140 9815
"498" 140 9816
"499" 141 9814
"500" 141 9815
"501" 141 9816
"502" 143 10073
"503" 143 10074
"504" 143 10075
"505" 145 10703
"506" 145 10704
"507" 145 10705
"508" 146 10703
"509" 146 10704
"510" 146 10705
"511" 148 11074
"512" 148 11075
"513" 148 11076
"514" 148 11077
"515" 148 11078
"516" 148 11079
"517" 149 11074
"518" 149 11075
"519" 149 11076
"520" 149 11077
"521" 149 11078
"522" 149 11079
"523" 150 11080
"524" 150 11081
"525" 150 11082
"526" 151 11322
"527" 151 11323
"528" 151 11324
"529" 151 11325
"530" 151 11326
"531" 151 11327
"532" 151 11328
"533" 151 11329
"534" 151 11330
"535" 155 11739
"536" 155 11740
"537" 155 11741
"538" 155 11742
"539" 155 11743
"540" 155 11744
"541" 157 12072
"542" 157 12073
"543" 157 12074
"544" 157 12075
"545" 157 12076
"546" 157 12077
"547" 157 12078
"548" 157 12079
"549" 157 12080
"550" 163 13307
"551" 163 13308
"552" 163 13309
"553" 163 13310
"554" 163 13311
"555" 163 13312
"556" 164 13307
"557" 164 13308
"558" 164 13309
"559" 164 13310
"560" 164 13311
"561" 164 13312
"562" 167 13729
"563" 167 13730
"564" 167 13731
"565" 167 13732
"566" 167 13733
"567" 167 13734
"568" 169 13761
"569" 169 13762
"570" 169 13763
"571" 169 13764
"572" 169 13765
"573" 169 13766
"574" 169 13767
"575" 169 13768
"576" 169 13769
"577" 169 13770
"578" 169 13771
"579" 170 13768
"580" 170 13769
"581" 170 13770
"582" 170 13771
"583" 175 14166
"584" 175 14167
"585" 175 14168
"586" 176 14166
"587" 176 14167
"588" 176 14168
"589" 176 14169
"590" 176 14170
"591" 176 14171
"592" 176 14172
"593" 176 14173
"594" 176 14174
"595" 177 14175
"596" 177 14176
"597" 177 14177
"598" 177 14178
"599" 177 14179
"600" 177 14180
"601" 177 14181
"602" 177 14182
"603" 177 14183
