geneID	sampleID	rlog	sampleName	sampleInfo	Genotype	Replicate	Input	sample
FBtr0329832	Gd7_R1_CBP	6.84345551438174	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0304741	Gd7_R1_CBP	4.99839996615729	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0331232	Gd7_R1_CBP	5.29703621182432	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078060	Gd7_R1_CBP	6.1079172612825	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078061	Gd7_R1_CBP	7.01794471121761	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0310034	Gd7_R1_CBP	4.78369963351206	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078062	Gd7_R1_CBP	5.03061649011746	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0310030	Gd7_R1_CBP	5.11634198124833	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0310027	Gd7_R1_CBP	7.60613013420205	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078063	Gd7_R1_CBP	7.60109530038467	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0329895	Gd7_R1_CBP	7.46433330501139	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078080	Gd7_R1_CBP	6.7977006032641	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0303763	Gd7_R1_CBP	6.33246677511868	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0345577	Gd7_R1_CBP	3.46713658410356	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078067	Gd7_R1_CBP	6.87362794364285	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078075	Gd7_R1_CBP	6.55580656071854	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078074	Gd7_R1_CBP	5.39700414966148	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0310022	Gd7_R1_CBP	5.6660152704148	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078069	Gd7_R1_CBP	7.06430271264766	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0346650	Gd7_R1_CBP	5.45789595765284	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0347398	Gd7_R1_CBP	5.53072797955186	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0343220	Gd7_R1_CBP	7.42340849337245	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0310023	Gd7_R1_CBP	4.07316781266054	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078009	Gd7_R1_CBP	5.93079916281671	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078039	Gd7_R1_CBP	5.60879539974901	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078011	Gd7_R1_CBP	6.75396447562836	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0305507	Gd7_R1_CBP	6.28497047625197	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0301908	Gd7_R1_CBP	6.91661005662959	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078038	Gd7_R1_CBP	6.87036539121738	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0334796	Gd7_R1_CBP	7.39584962511095	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078033	Gd7_R1_CBP	6.84181907371449	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078032	Gd7_R1_CBP	7.29673025240296	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078031	Gd7_R1_CBP	7.35444582330227	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0078030	Gd7_R1_CBP	6.60510672719441	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0091486	Gd7_R1_CBP	6.93578339313105	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077949	Gd7_R1_CBP	4.82694450590796	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077952	Gd7_R1_CBP	7.64081652832188	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077954	Gd7_R1_CBP	6.17167092335516	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077988	Gd7_R1_CBP	7.61132101604781	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
FBtr0077987	Gd7_R1_CBP	6.60732565222216	gd7_R1_CBP_S7	gd7_R1_CBP_S7	Gd7	R1	CBP	S7
