geneID	sampleID	rlog
Region1	Toll10b_2	11.0459058433056
Region2	Toll10b_2	11.0101047248821
Region3	Toll10b_2	9.29687391086429
Region4	Toll10b_2	10.3343824504942
Region5	Toll10b_2	7.26829796969558
Region6	Toll10b_2	7.77352780158947
Region7	Toll10b_2	7.89049988574162
Region8	Toll10b_2	11.5601991542604
Region9	Toll10b_2	8.36212663393842
Region10	Toll10b_2	9.43839287375039
Region11	Toll10b_2	8.9175343041556
Region12	Toll10b_2	10.6881540176897
Region13	Toll10b_2	8.80995878383174
Region14	Toll10b_2	8.35746915597645
Region15	Toll10b_2	8.8105067549376
Region16	Toll10b_2	8.8694860405837
Region17	Toll10b_2	8.57000370437432
Region18	Toll10b_2	8.6422348545215
Region19	Toll10b_2	9.72592911793643
Region20	Toll10b_2	10.9810353442724
Region21	Toll10b_2	7.71295397039207
Region22	Toll10b_2	9.18492017150001
Region23	Toll10b_2	12.129949997165
Region24	Toll10b_2	8.29269155809349
Region25	Toll10b_2	10.1215973528412
Region26	Toll10b_2	9.69178471477941
Region27	Toll10b_2	11.9579220396376
Region28	Toll10b_2	10.0781799436198
Region29	Toll10b_2	9.1694783018864
Region30	Toll10b_2	7.62495854402327
Region31	Toll10b_2	9.95036057236592
Region32	Toll10b_2	9.98992888983783
Region33	Toll10b_2	8.77526205661933
Region34	Toll10b_2	9.17131162718005
Region35	Toll10b_2	10.4875601446838
Region36	Toll10b_2	10.9593525770213
Region37	Toll10b_2	8.93579393021766
Region38	Toll10b_2	8.65055593258328
Region39	Toll10b_2	9.6702407090847
Region40	Toll10b_2	8.34340141216274
Region41	Toll10b_2	8.17720904005324
Region42	Toll10b_2	8.42688786334388
Region43	Toll10b_2	9.79822185633095
Region44	Toll10b_2	10.0930623001724
Region45	Toll10b_2	8.15137686635457
Region46	Toll10b_2	10.1979639405138
Region47	Toll10b_2	9.52603509243764
Region48	Toll10b_2	9.04137787128257
Region49	Toll10b_2	6.93144787257984
Region50	Toll10b_2	9.61163347035981
Region51	Toll10b_2	8.79174749485099
Region52	Toll10b_2	8.93841447172038
Region53	Toll10b_2	10.2249273171921
Region54	Toll10b_2	10.091162353761
Region55	Toll10b_2	9.56999745561832
Region56	Toll10b_2	9.53759979377938
Region57	Toll10b_2	8.52024213807099
Region58	Toll10b_2	12.1065260960743
Region59	Toll10b_2	8.09231114647988
Region60	Toll10b_2	9.13954402397604
Region61	Toll10b_2	7.87471261805938
Region62	Toll10b_2	8.52373290563909
Region63	Toll10b_2	7.56691332516431
Region64	Toll10b_2	9.98422915254089
Region65	Toll10b_2	8.49464754234634
Region66	Toll10b_2	8.26611792811363
Region67	Toll10b_2	8.67873102244687
Region68	Toll10b_2	9.16669967515107
Region69	Toll10b_2	8.99506135295824
Region70	Toll10b_2	8.21459855229115
Region71	Toll10b_2	10.1057462210221
Region72	Toll10b_2	9.76549889256123
Region73	Toll10b_2	7.86345606274435
Region74	Toll10b_2	8.59856994588985
Region75	Toll10b_2	7.90903955596858
Region76	Toll10b_2	9.00312431900853
Region77	Toll10b_2	9.06231938761703
Region78	Toll10b_2	7.57763659880919
Region79	Toll10b_2	9.35469186072394
Region80	Toll10b_2	11.6948575451534
Region81	Toll10b_2	12.5140211799594
Region82	Toll10b_2	8.92191808098692
Region83	Toll10b_2	9.2955637059207
Region84	Toll10b_2	9.58194034034872
Region85	Toll10b_2	7.36126707385253
Region86	Toll10b_2	7.77472522556788
Region87	Toll10b_2	8.25233751538112
Region88	Toll10b_2	8.5720598370018
Region89	Toll10b_2	10.4623123825999
Region90	Toll10b_2	7.29343848253867
Region91	Toll10b_2	7.77479582112163
Region92	Toll10b_2	8.92644476049616
Region93	Toll10b_2	7.19088203850187
Region94	Toll10b_2	9.29145545574997
Region95	Toll10b_2	10.0420758714862
Region96	Toll10b_2	8.24414299635609
Region97	Toll10b_2	9.11906771722221
Region98	Toll10b_2	8.74718229988964
Region99	Toll10b_2	8.81199276937377
Region100	Toll10b_2	7.64886468387034
Region101	Toll10b_2	8.04571621672851
Region102	Toll10b_2	9.5488754434176
Region103	Toll10b_2	8.69893885027327
Region104	Toll10b_2	8.6414708136604
Region105	Toll10b_2	9.41416840326355
Region106	Toll10b_2	8.19762040886067
Region107	Toll10b_2	8.43069512892718
Region108	Toll10b_2	8.07499132432271
Region109	Toll10b_2	9.68910905984856
Region110	Toll10b_2	8.3619544805955
Region111	Toll10b_2	10.1752624017416
Region112	Toll10b_2	10.1982997353181
Region113	Toll10b_2	8.91320071669039
Region114	Toll10b_2	9.0042382506672
Region115	Toll10b_2	9.94799919106264
Region116	Toll10b_2	8.60252828833331
Region117	Toll10b_2	9.28596003176648
Region118	Toll10b_2	8.88606527336266
Region119	Toll10b_2	7.30003693226531
Region120	Toll10b_2	8.50214643780378
Region121	Toll10b_2	6.69354847710367
Region122	Toll10b_2	7.23856362697559
Region123	Toll10b_2	8.63376612581864
Region124	Toll10b_2	8.50394001017371
Region125	Toll10b_2	7.90293747333762
Region126	Toll10b_2	7.97884769788954
Region127	Toll10b_2	9.78095121141705
Region128	Toll10b_2	10.4588308909071
Region129	Toll10b_2	8.20920106760166
Region130	Toll10b_2	7.9596665285586
Region131	Toll10b_2	10.443983479305
Region132	Toll10b_2	10.0077846573422
Region133	Toll10b_2	8.73154034475116
Region134	Toll10b_2	7.9269389731134
Region135	Toll10b_2	8.57532329086367
Region136	Toll10b_2	9.3257711286496
Region137	Toll10b_2	6.42037305429761
Region138	Toll10b_2	8.66630008859614
Region139	Toll10b_2	9.81593336642986
Region140	Toll10b_2	8.55443244744012
Region141	Toll10b_2	12.5839708498678
Region142	Toll10b_2	8.17644587838019
Region143	Toll10b_2	10.3645225490143
Region144	Toll10b_2	9.70717431755002
Region145	Toll10b_2	10.7467505386199
Region146	Toll10b_2	8.59330071591056
Region147	Toll10b_2	8.6429018313341
Region148	Toll10b_2	10.1807835857695
Region149	Toll10b_2	10.3972551360293
Region150	Toll10b_2	7.5842871028714
Region151	Toll10b_2	8.45335454975796
Region152	Toll10b_2	10.7221563449814
Region153	Toll10b_2	9.08715368504576
Region154	Toll10b_2	9.3864211492626
Region155	Toll10b_2	10.7222818443782
Region156	Toll10b_2	10.7962552114322
Region157	Toll10b_2	9.83400810857362
Region158	Toll10b_2	9.59311982959701
Region159	Toll10b_2	8.79793351551837
Region160	Toll10b_2	9.89069017931782
Region161	Toll10b_2	8.80757420323834
Region162	Toll10b_2	10.538028854485
Region163	Toll10b_2	9.04995025882559
Region164	Toll10b_2	9.85826239260004
Region165	Toll10b_2	9.47965209229408
Region166	Toll10b_2	8.63234735575584
Region167	Toll10b_2	7.85008781171002
Region168	Toll10b_2	8.41604959491149
Region169	Toll10b_2	8.48020312365793
Region170	Toll10b_2	8.25576000173982
Region171	Toll10b_2	9.52187850401425
Region172	Toll10b_2	7.855093403426
Region173	Toll10b_2	8.42531625794976
Region174	Toll10b_2	8.09805814632502
Region175	Toll10b_2	9.07656736680522
Region176	Toll10b_2	9.21653764840015
Region177	Toll10b_2	8.8954802256507
Region178	Toll10b_2	8.27645026823558
Region179	Toll10b_2	7.58209612965439
Region180	Toll10b_2	8.38188707264188
Region181	Toll10b_2	8.14134901105414
Region182	Toll10b_2	9.42923029107904
Region183	Toll10b_2	8.11435351816843
Region184	Toll10b_2	8.43200363215565
Region185	Toll10b_2	7.75849303470225
Region186	Toll10b_2	11.6578598103054
Region187	Toll10b_2	9.27725287375602
Region188	Toll10b_2	8.08763936037873
Region189	Toll10b_2	8.30112957667429
Region190	Toll10b_2	7.94901937802508
Region191	Toll10b_2	9.82427316961265
Region192	Toll10b_2	9.02105769359648
Region193	Toll10b_2	8.8675210415935
Region194	Toll10b_2	9.4593928601801
Region195	Toll10b_2	7.47162362709988
Region196	Toll10b_2	8.05120860314181
Region197	Toll10b_2	8.39084063611858
Region198	Toll10b_2	7.68622572229517
Region199	Toll10b_2	7.41818317397905
Region200	Toll10b_2	7.70796102262431
Region201	Toll10b_2	9.47413923373795
Region202	Toll10b_2	10.8233242489299
Region203	Toll10b_2	9.9525819786109
Region204	Toll10b_2	7.97011389327338
Region205	Toll10b_2	10.0974853085566
Region206	Toll10b_2	7.69978425134794
Region207	Toll10b_2	7.86962764314249
Region208	Toll10b_2	7.76575187948215
Region209	Toll10b_2	9.22756121277396
Region210	Toll10b_2	9.54886554802722
Region211	Toll10b_2	7.83972554428446
Region212	Toll10b_2	8.4547818000696
Region213	Toll10b_2	7.98851851738594
Region214	Toll10b_2	7.60320460801303
Region215	Toll10b_2	8.42070432426338
Region216	Toll10b_2	9.34036103336946
Region217	Toll10b_2	8.15423378107328
Region218	Toll10b_2	8.86164148458748
Region219	Toll10b_2	8.18090763432976
Region220	Toll10b_2	9.52780692947601
Region221	Toll10b_2	9.70285450013762
Region222	Toll10b_2	8.10493819004977
Region223	Toll10b_2	7.55797833636442
Region224	Toll10b_2	8.85580572943742
Region225	Toll10b_2	8.00286639832115
Region226	Toll10b_2	8.73398807773997
Region227	Toll10b_2	7.60614625233653
Region228	Toll10b_2	8.48371998120866
Region229	Toll10b_2	8.03729852692145
Region230	Toll10b_2	8.66040638090002
Region231	Toll10b_2	8.84650342888755
Region232	Toll10b_2	9.01399654240953
Region233	Toll10b_2	8.87396122930252
Region234	Toll10b_2	8.50592210085382
Region235	Toll10b_2	9.47166720174008
Region236	Toll10b_2	8.9166739410022
Region237	Toll10b_2	8.23312979719234
Region238	Toll10b_2	9.67018798056685
Region239	Toll10b_2	7.62643396535603
Region240	Toll10b_2	8.35126944558281
Region241	Toll10b_2	7.30617979031339
Region242	Toll10b_2	9.63900844977835
Region243	Toll10b_2	8.73928234194878
Region244	Toll10b_2	9.41369739372379
Region245	Toll10b_2	8.39189504834637
Region246	Toll10b_2	9.31662468844653
Region247	Toll10b_2	9.39807889785143
Region248	Toll10b_2	8.87276304870132
Region249	Toll10b_2	9.78095455294357
Region250	Toll10b_2	10.03083158148
Region251	Toll10b_2	9.84996433418274
Region252	Toll10b_2	11.4277590938874
Region253	Toll10b_2	9.29626517746666
Region254	Toll10b_2	8.34329539913303
Region255	Toll10b_2	9.25974400854431
Region256	Toll10b_2	8.49099133983951
Region257	Toll10b_2	8.06803572227596
Region258	Toll10b_2	9.01752781122904
Region259	Toll10b_2	9.70629295925191
Region260	Toll10b_2	10.1411947276091
Region261	Toll10b_2	8.17416838327945
Region262	Toll10b_2	9.84816354872225
Region263	Toll10b_2	9.24558745938133
Region264	Toll10b_2	10.3742894598691
Region265	Toll10b_2	10.0140775186958
Region266	Toll10b_2	9.52880053924716
Region267	Toll10b_2	10.2216904320617
Region268	Toll10b_2	9.81893960923624
Region269	Toll10b_2	8.74403768008908
Region270	Toll10b_2	10.9649679960327
Region271	Toll10b_2	9.1302272194818
Region272	Toll10b_2	9.43913114885099
Region273	Toll10b_2	8.21516668622182
